FT,ET,MT,stock,pH,MBC,MAT,MAP,NDSI,NDVI
Permafrost,Wetland,ER,131.94792,6,1.24090896,-5.5,400,18.3852997,0.421577
Seasonal,Wetland,AM,17.3604,5.9,0.098326244,2.5,580,21.0009003,0.304837
Seasonal,Forest,EM,22.51672,4.8,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,23.98784,4.82,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,17.89024,5.38,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,25.03864,5.61,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,17.89024,5.63,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,15.78568,5.57,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,18.31056,5.98,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,17.68008,6.14,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,34.71192,4.79,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,17.89024,4.82,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,21.67312,6.31,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,26.71992,6.13,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,17.46992,4.8,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,18.31056,4.84,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,15.78568,6.07,0.066730832,2.8,700,6.9309402,0.452064
Seasonal,Forest,EM,14.52472,6.01,0.066730832,2.8,700,6.9309402,0.452064
Permafrost,Forest,EM,8.32824,6.1999998,0.07907674,-3,400,9.5033197,0.330513
Permafrost,Forest,EM,14.58318,6.6999998,0.096448343,-3,400,6.1280398,0.375984
Permafrost,Forest,EM,4.73304,6.6999998,0.113194246,-3,400,4.8455901,0.388062
Permafrost,Forest,EM,14.58318,6,0.054918581,-3,400,4.5174999,0.460914
Permafrost,Forest,EM,5.97504,6.6999998,0.110069508,-3,400,9.7727499,0.32009
Permafrost,Forest,EM,6.38104,6.1999998,0.056836888,-3,400,7.6736002,0.380514
