log_stock60,Ecosystem
,Wetland
,Wetland
,Wetland
1.615563642,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.583165322,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.302028809,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.257400633,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.171020481,Wetland
,Wetland
,Wetland
,Wetland
1.164161248,Wetland
,Wetland
,Wetland
,Wetland
1.197154801,Wetland
,Wetland
,Wetland
,Wetland
1.208648779,Wetland
,Wetland
,Wetland
,Wetland
1.216155078,Wetland
,Wetland
,Wetland
,Wetland
1.436383874,Wetland
,Wetland
,Wetland
,Wetland
1.458772724,Wetland
,Wetland
,Wetland
,Wetland
1.428374238,Wetland
,Wetland
,Wetland
,Wetland
1.45069134,Wetland
,Wetland
,Wetland
,Wetland
1.444633038,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.131390552,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.017603811,Wetland
,Wetland
,Forest
,Forest
,Forest
,Forest
,Forest
0.938406634,Forest
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Grassland
,Forest
,Wetland
,Wetland
,Wetland
1.181844445,Wetland
,Wetland
,Wetland
,Forest
,Forest
,Forest
1.147586983,Forest
,Forest
,Forest
,Wetland
,Wetland
,Wetland
,Wetland
1.00877726,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.175810324,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
1.50810343,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Wetland
,Grassland
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
,Forest
