layer,Type,log_stock
0-20,Permafrost,1.211599963
0-20,Permafrost,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.99997988
0-20,Seasonal frozen ground,1.20370413
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.739225312
0-20,Seasonal frozen ground,0.316738754
0-20,Seasonal frozen ground,0.938904966
0-20,Seasonal frozen ground,0.628922061
0-20,Seasonal frozen ground,1.272180948
0-20,Seasonal frozen ground,0.769397923
0-20,Seasonal frozen ground,0.72437092
0-20,Seasonal frozen ground,
0-20,Permafrost,
0-20,Seasonal frozen ground,0.979047433
0-20,Seasonal frozen ground,0.217728153
0-20,Seasonal frozen ground,0.727514839
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,1.064318982
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.685170018
0-20,Seasonal frozen ground,0.979829241
0-20,Seasonal frozen ground,1.131027402
0-20,Seasonal frozen ground,0.454579643
0-20,Seasonal frozen ground,0.675663532
0-20,Permafrost,1.099265531
0-20,Seasonal frozen ground,1.028620311
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.722255861
0-20,Seasonal frozen ground,0.794661075
0-20,Seasonal frozen ground,0.733651492
0-20,Seasonal frozen ground,0.920738135
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,1.131027402
0-20,Seasonal frozen ground,0.652708399
0-20,Seasonal frozen ground,1.359100028
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.995176933
0-20,Seasonal frozen ground,0.227284086
0-20,Seasonal frozen ground,0.866417559
0-20,Seasonal frozen ground,0.511216254
0-20,Seasonal frozen ground,0.947404151
0-20,Seasonal frozen ground,1.077987228
0-20,Seasonal frozen ground,1.302940311
0-20,Seasonal frozen ground,1.298082736
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.738545133
0-20,Seasonal frozen ground,1.103287691
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.315400434
0-20,Seasonal frozen ground,1.231703698
0-20,Seasonal frozen ground,0.520782835
0-20,Seasonal frozen ground,0.368875537
0-20,Seasonal frozen ground,0.452238394
0-20,Seasonal frozen ground,0.783757712
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.670917097
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.717859636
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,-0.095652281
0-20,Seasonal frozen ground,-0.449927789
0-20,Seasonal frozen ground,0.573210943
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.914722239
0-20,Seasonal frozen ground,0.438947787
0-20,Seasonal frozen ground,0.497205539
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.362909114
0-20,Seasonal frozen ground,0.719169726
0-20,Seasonal frozen ground,0.589978094
0-20,Seasonal frozen ground,0.380882485
0-20,Seasonal frozen ground,0.335124995
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.350432414
0-20,Seasonal frozen ground,-0.044751014
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.353590933
0-20,Seasonal frozen ground,-0.024776168
0-20,Seasonal frozen ground,0.841135815
0-20,Seasonal frozen ground,0.775083924
0-20,Permafrost,2.03537754
0-20,Seasonal frozen ground,1.942510055
0-20,Permafrost,1.863284783
0-20,Permafrost,1.860989259
0-20,Seasonal frozen ground,1.010206641
0-20,Permafrost,1.344917433
20-40,Permafrost,1.303860603
40-60,Permafrost,1.185229282
0-20,Permafrost,1.297243897
20-40,Permafrost,1.192786497
40-60,Permafrost,1.081168656
0-20,Permafrost,1.178734135
20-40,Permafrost,1.1551714
40-60,Permafrost,1.105951408
0-20,Permafrost,2.017710978
20-40,Permafrost,2.031395859
0-20,Seasonal frozen ground,1.799059201
20-40,Seasonal frozen ground,1.15807528
0-20,Permafrost,1.871618114
0-20,Permafrost,2.015530338
0-20,Permafrost,1.280027168
0-20,Permafrost,1.033346541
20-40,Permafrost,0.945244585
0-20,Permafrost,1.848227998
0-20,Permafrost,1.510475732
20-40,Permafrost,1.387603561
0-20,Permafrost,
20-40,Permafrost,
0-20,Permafrost,1.14850394
0-20,Permafrost,1.14690287
20-40,Permafrost,1.086156163
20-40,Permafrost,0.942142043
0-20,Permafrost,1.082785087
20-40,Permafrost,1.245060268
40-60,Permafrost,1.376576957
0-20,Permafrost,0.981770601
0-20,Permafrost,1.011824096
0-20,Permafrost,0.949202585
0-20,Permafrost,0.991443169
0-20,Permafrost,0.804570104
0-20,Permafrost,0.805084715
0-20,Permafrost,1.360029639
0-20,Permafrost,1.246260195
20-40,Permafrost,1.267113506
0-20,Permafrost,1.095674165
0-20,Permafrost,1.009454295
20-40,Permafrost,0.544028336
0-20,Permafrost,1.079745462
0-20,Permafrost,0.984847628
20-40,Permafrost,0.988929777
0-20,Permafrost,1.314440279
0-20,Permafrost,1.376248375
0-20,Permafrost,1.500949647
0-20,Permafrost,1.493474781
0-20,Permafrost,1.297436584
0-20,Permafrost,1.146580707
0-20,Permafrost,1.45805437
0-20,Permafrost,1.396706948
0-20,Permafrost,1.380580235
0-20,Permafrost,1.035602621
0-20,Permafrost,0.944632675
0-20,Permafrost,1.007597583
0-20,Permafrost,1.269527887
0-20,Permafrost,0.714825813
20-40,Permafrost,0.678951547
0-20,Permafrost,1.320649693
0-20,Permafrost,0.808750972
20-40,Permafrost,0.377634034
0-20,Permafrost,1.160955676
0-20,Permafrost,1.048323697
20-40,Permafrost,0.52376207
0-20,Permafrost,2.168521054
20-40,Permafrost,2.141161193
0-20,Permafrost,1.947869758
20-40,Permafrost,1.999099208
0-20,Permafrost,1.948991639
20-40,Permafrost,1.900397719
0-20,Permafrost,1.906020253
20-40,Permafrost,1.767636664
0-20,Permafrost,1.808605239
20-40,Permafrost,1.69592625
0-20,Permafrost,2.001106908
20-40,Permafrost,2.074939985
0-20,Permafrost,2.001683532
20-40,Permafrost,2.053700614
0-20,Permafrost,1.999661987
20-40,Permafrost,2.05085208
0-20,Permafrost,1.979113863
20-40,Permafrost,2.015931172
0-20,Seasonal frozen ground,0.902002891
0-20,Seasonal frozen ground,0.915682589
0-20,Seasonal frozen ground,0.886980018
0-20,Seasonal frozen ground,0.969321774
0-20,Seasonal frozen ground,0.887878249
0-20,Seasonal frozen ground,0.917362647
0-20,Seasonal frozen ground,0.958145153
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,
0-20,Seasonal frozen ground,0.453544604
0-20,Seasonal frozen ground,0.511412732
0-20,Seasonal frozen ground,0.583896713
20-40,Seasonal frozen ground,0.447874027
40-60,Seasonal frozen ground,0.240519296
0-20,Seasonal frozen ground,0.415260555
0-20,Seasonal frozen ground,0.426472222
0-20,Seasonal frozen ground,0.471015788
20-40,Seasonal frozen ground,0.225526375
40-60,Seasonal frozen ground,0.125442226
0-20,Seasonal frozen ground,0.281397022
0-20,Seasonal frozen ground,0.253270142
0-20,Seasonal frozen ground,0.191786248
20-40,Seasonal frozen ground,0.24663643
40-60,Seasonal frozen ground,0.167600863
0-20,Seasonal frozen ground,0.269456903
0-20,Seasonal frozen ground,0.224035553
0-20,Seasonal frozen ground,0.136885378
20-40,Seasonal frozen ground,0.160102213
40-60,Seasonal frozen ground,0.034291477
0-20,Seasonal frozen ground,0.348764232
0-20,Seasonal frozen ground,0.338560074
0-20,Seasonal frozen ground,0.224035553
20-40,Seasonal frozen ground,0.112081925
40-60,Seasonal frozen ground,0.109335517
0-20,Seasonal frozen ground,0.687503991
0-20,Seasonal frozen ground,0.652934476
0-20,Seasonal frozen ground,0.597260674
20-40,Seasonal frozen ground,0.440329636
40-60,Seasonal frozen ground,0.314684443
0-20,Seasonal frozen ground,0.681393214
0-20,Seasonal frozen ground,0.583896713
0-20,Seasonal frozen ground,0.426472222
20-40,Seasonal frozen ground,0.242655701
40-60,Seasonal frozen ground,0.125442226
0-20,Seasonal frozen ground,1.309223784
0-20,Seasonal frozen ground,1.050091162
20-40,Seasonal frozen ground,0.953193145
20-40,Seasonal frozen ground,0.955855087
40-60,Seasonal frozen ground,0.964895722
0-20,Seasonal frozen ground,1.094198517
0-20,Seasonal frozen ground,0.917362647
20-40,Seasonal frozen ground,0.809195967
20-40,Seasonal frozen ground,0.838153663
40-60,Seasonal frozen ground,0.806420096
0-20,Seasonal frozen ground,-0.016879105
0-20,Seasonal frozen ground,-0.016879105
0-20,Seasonal frozen ground,-0.016879105
0-20,Seasonal frozen ground,-0.016879105
0-20,Seasonal frozen ground,-0.016879105
0-20,Seasonal frozen ground,-0.016879105
0-20,Seasonal frozen ground,-0.016879105
