layer,Ecosystem,log_stock
40-60,Wetland,1.02533808
0-20,Forest,1.023188237
0-20,Forest,1.006705587
0-20,Forest,0.91944421
0-20,Forest,1.842507393
0-20,Forest,1.711763578
0-20,Forest,1.861650908
20-40,Forest,1.920520441
20-40,Forest,1.798160258
40-60,Forest,1.616819515
40-60,Forest,1.959465763
0-20,Forest,0.997876179
0-20,Forest,0.959179199
0-20,Forest,0.955482963
20-40,Forest,1.015042403
20-40,Forest,0.943829209
40-60,Forest,0.971622979
40-60,Forest,0.888973218
0-20,Wetland,1.149226538
0-20,Wetland,1.21664933
0-20,Wetland,1.115506701
0-20,Forest,1.957013138
0-20,Forest,1.765757937
0-20,Wetland,2.092467993
0-20,Wetland,1.938159331
0-20,Wetland,2.001491409
0-20,Wetland,1.821539729
0-20,Wetland,2.097711127
20-40,Wetland,2.119476188
0-20,Wetland,2.052683786
20-40,Wetland,2.034916623
0-20,Wetland,0.942611212
0-20,Wetland,0.530507087
0-20,Wetland,0.942611212
0-20,Wetland,0.482679283
0-20,Wetland,0.969747597
0-20,Wetland,0.58951177
0-20,Wetland,1.122221155
0-20,Wetland,0.685003291
0-20,Wetland,0.956391318
0-20,Wetland,0.565243195
0-20,Wetland,1.006048267
0-20,Wetland,0.652052881
0-20,Wetland,1.016548697
0-20,Wetland,0.573586355
0-20,Wetland,1.033963908
0-20,Wetland,0.634590145
0-20,Wetland,1.062780507
0-20,Wetland,0.694373546
0-20,Wetland,1.019518431
0-20,Wetland,0.641712048
0-20,Wetland,0.908034439
0-20,Wetland,0.561168226
0-20,Wetland,0.874463296
0-20,Wetland,0.497515721
0-20,Wetland,0.872468652
0-20,Wetland,0.467318019
0-20,Wetland,1.023881044
0-20,Wetland,0.678562112
0-20,Wetland,0.892602129
0-20,Wetland,0.516773311
0-20,Forest,0.925163519
0-20,Forest,0.511391327
0-20,Forest,1.198885752
0-20,Forest,0.78521594
0-20,Forest,1.29345979
0-20,Forest,0.717544023
0-20,Wetland,1.94732587
0-20,Wetland,1.891660091
20-40,Wetland,1.992845011
0-20,Wetland,1.95273434
0-20,Wetland,1.931813704
20-40,Wetland,1.948295573
0-20,Wetland,1.154484837
0-20,Wetland,2.043582317
20-40,Wetland,2.126170385
20-40,Wetland,2.046276596
0-20,Wetland,0.970607222
0-20,Wetland,0.511509071
0-20,Wetland,0.998750945
0-20,Wetland,0.671291388
0-20,Wetland,1.011330216
0-20,Wetland,0.642757282
0-20,Wetland,1.237630689
0-20,Wetland,2.120402548
0-20,Wetland,1.95273434
0-20,Wetland,1.931813704
20-40,Wetland,1.856897985
0-20,Wetland,1.94732587
0-20,Wetland,1.891660091
20-40,Wetland,1.948295573
0-20,Wetland,1.239559728
20-40,Wetland,1.202673547
0-20,Forest,1.352505127
0-20,Forest,1.379991143
0-20,Forest,1.252616167
0-20,Forest,1.398610736
0-20,Forest,1.252616167
0-20,Forest,1.198263295
0-20,Forest,1.262701627
0-20,Forest,1.247484226
0-20,Forest,1.540478636
0-20,Forest,1.252616167
0-20,Forest,1.335921436
0-20,Forest,1.426835154
0-20,Forest,1.242290916
0-20,Forest,1.262701627
0-20,Forest,1.198263295
0-20,Forest,1.162107769
0-20,Forest,0.920553232
0-20,Forest,1.163852236
0-20,Forest,0.675140175
0-20,Forest,1.163852236
0-20,Forest,0.776340817
0-20,Forest,0.804891467
0-20,Forest,0.920553232
0-20,Forest,0.675140175
0-20,Forest,0.675140175
0-20,Forest,0.785158931
0-20,Forest,0.804891467
0-20,Forest,0.675140175
0-20,Forest,0.675140175
0-20,Forest,0.675140175
0-20,Forest,0.675140175
0-20,Forest,0.776340817
0-20,Forest,1.163852236
0-20,Forest,0.985644689
0-20,Forest,0.675140175
0-20,Wetland,1.030194785
0-20,Wetland,1.093981704
20-40,Wetland,1.072617477
20-40,Wetland,1.173535895
40-60,Wetland,1.202760687
0-20,Wetland,1.122019172
0-20,Wetland,1.224377652
20-40,Wetland,1.151614972
20-40,Wetland,1.224688417
40-60,Wetland,1.214419939
0-20,Wetland,1.15192118
0-20,Wetland,1.11320777
20-40,Wetland,1.115011071
20-40,Wetland,1.098712931
40-60,Wetland,1.13481437
0-20,Wetland,1.112605002
0-20,Wetland,1.218220304
20-40,Wetland,1.240049772
20-40,Wetland,1.230039981
40-60,Wetland,1.198437135
0-20,Wetland,1.151431144
0-20,Wetland,1.242789809
20-40,Wetland,1.258301976
20-40,Wetland,1.145631415
40-60,Wetland,1.341038632
0-20,Wetland,0.792593379
0-20,Wetland,0.416593914
20-40,Wetland,0.241506635
20-40,Wetland,0.39814842
40-60,Wetland,0.587899455
0-20,Wetland,0.637393654
0-20,Wetland,0.416314248
20-40,Wetland,0.305351369
20-40,Wetland,0.377626753
40-60,Wetland,0.43342418
0-20,Forest,0.801176015
0-20,Grassland,0.940941554
0-20,Grassland,1.030798763
0-20,Wetland,1.61979524
0-20,Wetland,
0-20,Forest,
0-20,Forest,
0-20,Grassland,0.706046161
0-20,Wetland,
0-20,Wetland,
0-20,Forest,1.163703614
0-20,Forest,1.20370413
0-20,Forest,0.534491376
0-20,Forest,1.211599963
0-20,Forest,
0-20,Forest,
0-20,Forest,
0-20,Forest,0.99997988
0-20,Forest,1.20370413
0-20,Forest,
0-20,Forest,0.739225312
0-20,Grassland,0.316738754
0-20,Forest,0.938904966
0-20,Forest,0.628922061
0-20,Forest,1.272180948
0-20,Grassland,0.769397923
0-20,Grassland,0.72437092
0-20,Grassland,
0-20,Forest,
0-20,Forest,0.979047433
0-20,Grassland,0.217728153
0-20,Grassland,0.727514839
0-20,Grassland,
0-20,Grassland,
0-20,Forest,1.064318982
0-20,Grassland,
0-20,Forest,0.685170018
0-20,Grassland,0.979829241
0-20,Forest,1.131027402
0-20,Grassland,0.454579643
0-20,Forest,0.675663532
0-20,Forest,1.099265531
0-20,Grassland,1.028620311
0-20,Forest,
0-20,Grassland,0.722255861
0-20,Grassland,0.794661075
0-20,Grassland,0.733651492
0-20,Grassland,0.920738135
0-20,Wetland,
0-20,Forest,1.131027402
0-20,Forest,0.652708399
0-20,Forest,1.359100028
0-20,Forest,
0-20,Forest,
0-20,Forest,0.995176933
0-20,Grassland,0.227284086
0-20,Forest,0.866417559
0-20,Forest,0.511216254
0-20,Forest,0.947404151
0-20,Forest,1.077987228
0-20,Forest,1.302940311
0-20,Forest,1.298082736
0-20,Forest,
0-20,Forest,0.738545133
0-20,Forest,1.103287691
0-20,Forest,
0-20,Forest,0.315400434
0-20,Grassland,1.231703698
0-20,Grassland,0.520782835
0-20,Grassland,0.368875537
0-20,Forest,0.452238394
0-20,Forest,0.783757712
0-20,Forest,
0-20,Grassland,
0-20,Forest,
0-20,Forest,0.670917097
0-20,Forest,
0-20,Forest,0.717859636
0-20,Forest,
0-20,Grassland,
0-20,Forest,-0.095652281
0-20,Forest,-0.449927789
0-20,Forest,0.573210943
0-20,Forest,
0-20,Grassland,
0-20,Grassland,
0-20,Forest,
0-20,Forest,
0-20,Forest,
0-20,Grassland,0.914722239
0-20,Wetland,0.438947787
0-20,Forest,0.497205539
0-20,Wetland,
0-20,Wetland,0.362909114
0-20,Forest,0.719169726
0-20,Grassland,0.589978094
0-20,Forest,0.380882485
0-20,Wetland,0.335124995
0-20,Forest,
0-20,Grassland,0.350432414
0-20,Forest,-0.044751014
0-20,Grassland,
0-20,Grassland,0.353590933
0-20,Forest,-0.024776168
0-20,Wetland,0.841135815
0-20,Wetland,0.775083924
0-20,Wetland,2.03537754
0-20,Wetland,1.942510055
0-20,Wetland,1.863284783
0-20,Wetland,1.860989259
0-20,Wetland,1.010206641
0-20,Forest,1.344917433
20-40,Forest,1.303860603
40-60,Forest,1.185229282
0-20,Forest,1.297243897
20-40,Forest,1.192786497
40-60,Forest,1.081168656
0-20,Forest,1.178734135
20-40,Forest,1.1551714
40-60,Forest,1.105951408
0-20,Wetland,2.017710978
20-40,Wetland,2.031395859
0-20,Wetland,1.799059201
20-40,Wetland,1.15807528
0-20,Wetland,1.871618114
0-20,Wetland,2.015530338
0-20,Forest,1.280027168
0-20,Forest,1.033346541
20-40,Forest,0.945244585
0-20,Forest,1.848227998
0-20,Forest,1.510475732
20-40,Forest,1.387603561
0-20,Wetland,
20-40,Wetland,
0-20,Wetland,1.14850394
0-20,Wetland,1.14690287
20-40,Wetland,1.086156163
20-40,Wetland,0.942142043
0-20,Wetland,1.082785087
20-40,Wetland,1.245060268
40-60,Wetland,1.376576957
0-20,Forest,0.981770601
0-20,Forest,1.011824096
0-20,Forest,0.949202585
0-20,Forest,0.991443169
0-20,Forest,0.804570104
0-20,Forest,0.805084715
0-20,Wetland,1.360029639
0-20,Wetland,1.246260195
20-40,Wetland,1.267113506
0-20,Forest,1.095674165
0-20,Forest,1.009454295
20-40,Forest,0.544028336
0-20,Forest,1.079745462
0-20,Forest,0.984847628
20-40,Forest,0.988929777
0-20,Wetland,1.314440279
0-20,Wetland,1.376248375
0-20,Wetland,1.500949647
0-20,Wetland,1.493474781
0-20,Wetland,1.297436584
0-20,Wetland,1.146580707
0-20,Wetland,1.45805437
0-20,Forest,1.396706948
0-20,Forest,1.380580235
0-20,Forest,1.035602621
0-20,Forest,0.944632675
0-20,Forest,1.007597583
0-20,Wetland,1.269527887
0-20,Wetland,0.714825813
20-40,Wetland,0.678951547
0-20,Wetland,1.320649693
0-20,Wetland,0.808750972
20-40,Wetland,0.377634034
0-20,Wetland,1.160955676
0-20,Wetland,1.048323697
20-40,Wetland,0.52376207
0-20,Wetland,2.168521054
20-40,Wetland,2.141161193
0-20,Wetland,1.947869758
20-40,Wetland,1.999099208
0-20,Wetland,1.948991639
20-40,Wetland,1.900397719
0-20,Wetland,1.906020253
20-40,Wetland,1.767636664
0-20,Wetland,1.808605239
20-40,Wetland,1.69592625
0-20,Wetland,2.001106908
20-40,Wetland,2.074939985
0-20,Wetland,2.001683532
20-40,Wetland,2.053700614
0-20,Wetland,1.999661987
20-40,Wetland,2.05085208
0-20,Wetland,1.979113863
20-40,Wetland,2.015931172
0-20,Grassland,0.902002891
0-20,Grassland,0.915682589
0-20,Grassland,0.886980018
0-20,Grassland,0.969321774
0-20,Grassland,0.887878249
0-20,Grassland,0.917362647
0-20,Grassland,0.958145153
0-20,Forest,
0-20,Forest,
0-20,Grassland,0.453544604
0-20,Grassland,0.511412732
0-20,Grassland,0.583896713
20-40,Grassland,0.447874027
40-60,Grassland,0.240519296
0-20,Grassland,0.415260555
0-20,Grassland,0.426472222
0-20,Grassland,0.471015788
20-40,Grassland,0.225526375
40-60,Grassland,0.125442226
0-20,Grassland,0.281397022
0-20,Grassland,0.253270142
0-20,Grassland,0.191786248
20-40,Grassland,0.24663643
40-60,Grassland,0.167600863
0-20,Grassland,0.269456903
0-20,Grassland,0.224035553
0-20,Grassland,0.136885378
20-40,Grassland,0.160102213
40-60,Grassland,0.034291477
0-20,Grassland,0.348764232
0-20,Grassland,0.338560074
0-20,Grassland,0.224035553
20-40,Grassland,0.112081925
40-60,Grassland,0.109335517
0-20,Grassland,0.687503991
0-20,Grassland,0.652934476
0-20,Grassland,0.597260674
20-40,Grassland,0.440329636
40-60,Grassland,0.314684443
0-20,Grassland,0.681393214
0-20,Grassland,0.583896713
0-20,Grassland,0.426472222
20-40,Grassland,0.242655701
40-60,Grassland,0.125442226
0-20,Forest,1.309223784
0-20,Forest,1.050091162
20-40,Forest,0.953193145
20-40,Forest,0.955855087
40-60,Forest,0.964895722
0-20,Grassland,1.094198517
0-20,Grassland,0.917362647
20-40,Grassland,0.809195967
20-40,Grassland,0.838153663
40-60,Grassland,0.806420096
0-20,Grassland,-0.016879105
0-20,Grassland,-0.016879105
0-20,Grassland,-0.016879105
0-20,Grassland,-0.016879105
0-20,Grassland,-0.016879105
0-20,Grassland,-0.016879105
0-20,Grassland,-0.016879105
0-20,Grassland,-0.003488328
0-20,Grassland,-0.080921908
0-20,Grassland,-0.04383157
0-20,Grassland,-0.20481541
0-20,Grassland,-0.089375595
0-20,Grassland,-0.092588639
0-20,Grassland,-0.094743951
20-40,Grassland,-0.295849483
20-40,Grassland,-0.156767222
20-40,Grassland,-0.145693958
20-40,Grassland,-0.199282922
20-40,Grassland,-0.225483034
20-40,Grassland,-0.164943898
20-40,Grassland,-0.206209615
40-60,Grassland,-0.335358024
40-60,Grassland,-0.208309351
40-60,Grassland,-0.208309351
40-60,Grassland,-0.199282922
40-60,Grassland,-0.251037139
40-60,Grassland,-0.171340103
40-60,Grassland,-0.152427341
0-20,Grassland,0.92867232
0-20,Wetland,1.007863802
0-20,Wetland,0.979045504
0-20,Wetland,1.007476366
20-40,Wetland,1.076591806
0-20,Grassland,0.565375503
0-20,Grassland,0.51054501
0-20,Grassland,0.441852176
20-40,Grassland,0.292256071
40-60,Grassland,0.194791758
0-20,Grassland,0.903159469
0-20,Grassland,0.916803349
0-20,Grassland,0.889073007
0-20,Grassland,0.970559786
0-20,Grassland,0.889073007
0-20,Grassland,0.916803349
0-20,Grassland,0.958526615
0-20,Grassland,0.788493617
0-20,Grassland,0.80617726
0-20,Grassland,0.750807592
0-20,Grassland,0.750807592
0-20,Grassland,0.765325751
0-20,Grassland,0.745858314
0-20,Grassland,0.801823394
0-20,Wetland,1.29578694
20-40,Wetland,1.179838928
40-60,Wetland,0.91824009
0-20,Wetland,1.156609718
20-40,Wetland,1.180068501
40-60,Wetland,0.808750972
0-20,Wetland,1.233909453
20-40,Wetland,1.18999534
40-60,Wetland,0.881726935
0-20,Wetland,1.28546729
20-40,Wetland,1.194292282
40-60,Wetland,0.969788537
0-20,Wetland,1.285647309
20-40,Wetland,1.114610984
40-60,Wetland,0.936513742
0-20,Wetland,1.162862993
20-40,Wetland,1.132835804
40-60,Wetland,0.856970433
0-20,Wetland,1.240549248
20-40,Wetland,1.122150319
40-60,Wetland,0.945173046
0-20,Wetland,1.270119599
20-40,Wetland,1.139123134
40-60,Wetland,0.969602265
0-20,Grassland,1.123417129
0-20,Grassland,1.230127936
0-20,Grassland,1.312118939
0-20,Grassland,1.123417129
0-20,Grassland,1.230127936
0-20,Grassland,1.312118939
0-20,Grassland,1.123417129
0-20,Grassland,1.230071176
0-20,Grassland,1.312118939
0-20,Grassland,0.834339306
0-20,Grassland,0.965237459
0-20,Grassland,1.173851483
0-20,Grassland,0.850143658
0-20,Grassland,0.988421602
0-20,Grassland,1.195342181
0-20,Grassland,0.857835263
0-20,Grassland,0.988421602
0-20,Grassland,1.195342181
20-40,Grassland,0.779382899
20-40,Grassland,0.779382899
20-40,Grassland,0.757273012
20-40,Grassland,0.779382899
20-40,Grassland,0.779382899
20-40,Grassland,0.757273012
20-40,Grassland,0.779382899
20-40,Grassland,0.779382899
20-40,Grassland,0.757273012
0-20,Wetland,1.951196812
0-20,Wetland,1.951196812
0-20,Wetland,2.004445882
0-20,Wetland,1.989142855
20-40,Wetland,2.048289813
20-40,Wetland,2.058427695
0-20,Grassland,1.176410815
0-20,Grassland,1.079710795
0-20,Forest,1.053757443
0-20,Forest,0.900747208
0-20,Forest,0.960303339
0-20,Forest,0.864553829
0-20,Forest,0.684953025
0-20,Grassland,0.504062883
0-20,Grassland,0.543163771
0-20,Grassland,0.287264126
0-20,Grassland,0.292078772
0-20,Grassland,0.34182215
0-20,Grassland,0.276213565
0-20,Grassland,0.413182371
0-20,Grassland,0.246301577
0-20,Grassland,0.240549248
0-20,Grassland,0.264496704
0-20,Grassland,0.293954471
0-20,Grassland,0.21571157
0-20,Grassland,0.328770904
0-20,Grassland,0.153363573
0-20,Grassland,0.792489745
0-20,Grassland,1.088855238
20-40,Grassland,0.854777898
0-20,Forest,0.901449471
20-40,Forest,0.553184433
0-20,Grassland,0.892274908
0-20,Forest,0.892683739
0-20,Forest,1.022176243
0-20,Forest,0.784210736
0-20,Grassland,0.386677284
0-20,Grassland,0.522704993
0-20,Grassland,0.455758203
0-20,Grassland,0.629001619
0-20,Grassland,0.691435152
0-20,Forest,0.867632453
0-20,Wetland,1.07471407
0-20,Grassland,0.314183339
0-20,Grassland,0.38344552
0-20,Grassland,0.365398122
0-20,Grassland,0.245083096
0-20,Grassland,0.460711462
0-20,Grassland,0.370350222
0-20,Grassland,0.370350222
0-20,Grassland,0.420516831
0-20,Grassland,0.809142053
0-20,Grassland,0.561602204
0-20,Grassland,0.489339626
0-20,Grassland,0.40715287
20-40,Grassland,0.351022885
20-40,Grassland,0.213995649
0-20,Forest,1.137508682
0-20,Forest,1.090363225
0-20,Forest,1.037609037
0-20,Wetland,1.711915831
0-20,Wetland,1.727233238
0-20,Wetland,1.626658118
20-40,Wetland,1.740687263
0-20,Grassland,0.500428598
0-20,Grassland,0.433481808
0-20,Grassland,0.606725225
0-20,Grassland,0.701343441
0-20,Wetland,1.106427535
0-20,Wetland,1.170591798
0-20,Wetland,1.402031858
0-20,Wetland,1.529976711
0-20,Wetland,1.339262323
0-20,Grassland,0.632760888
0-20,Grassland,0.598067905
0-20,Grassland,0.332519251
0-20,Grassland,0.402364569
0-20,Grassland,0.650424097
0-20,Grassland,0.054613055
0-20,Grassland,0.315214393
0-20,Grassland,0.250615147
0-20,Grassland,0.488832634
0-20,Grassland,0.463713862
0-20,Grassland,0.634474932
0-20,Grassland,0.516493962
20-40,Grassland,0.476499429
0-20,Grassland,0.637457224
0-20,Grassland,0.572213711
20-40,Grassland,0.504961004
0-20,Grassland,0.538081879
0-20,Grassland,0.547994447
20-40,Grassland,0.472461181
0-20,Grassland,0.394703519
0-20,Grassland,0.517596933
20-40,Grassland,0.427144822
0-20,Grassland,0.586532481
0-20,Grassland,0.584936962
20-40,Grassland,0.536151093
0-20,Grassland,0.645201079
0-20,Grassland,0.515818543
20-40,Grassland,0.473156608
0-20,Grassland,0.672794075
0-20,Grassland,0.413711963
20-40,Grassland,0.345889756
0-20,Grassland,0.548906472
0-20,Grassland,0.507348624
20-40,Grassland,0.502116477
0-20,Grassland,0.16070732
0-20,Grassland,0.200864458
20-40,Grassland,0.202795432
0-20,Grassland,0.098519258
0-20,Grassland,0.088896297
20-40,Grassland,-0.022117322
0-20,Grassland,0.214081302
0-20,Grassland,0.130744096
20-40,Grassland,0.049334966
0-20,Grassland,0.374250617
0-20,Grassland,0.27131861
20-40,Grassland,0.08027149
0-20,Wetland,-0.563455723
0-20,Wetland,-0.684029655
20-40,Wetland,-0.606459893
20-40,Wetland,-0.674484337
40-60,Wetland,-0.705798399
0-20,Grassland,0.536487738
0-20,Grassland,0.490472582
20-40,Grassland,0.371082647
20-40,Grassland,0.307234955
40-60,Grassland,0.20588073
0-20,Wetland,0.219060332
0-20,Wetland,-0.077648289
20-40,Wetland,-0.206265477
20-40,Wetland,-0.328197933
40-60,Wetland,-0.569795901
0-20,Grassland,0.106653173
20-40,Grassland,0.024805729
40-60,Grassland,-0.369063881
0-20,Forest,0.028408565
20-40,Forest,0.171726454
40-60,Forest,-0.004364805
0-20,Forest,0.407815642
20-40,Forest,0.28057837
40-60,Forest,-0.134599882
0-20,Forest,0.331439444
20-40,Forest,0.265148139
40-60,Forest,0.009467893
0-20,Forest,0.234122291
20-40,Forest,0.171726454
40-60,Forest,-0.047449706
0-20,Grassland,0.386677284
0-20,Grassland,0.522704993
0-20,Grassland,0.455758203
0-20,Grassland,0.629001619
0-20,Grassland,0.691435152
0-20,Forest,0.957825576
20-40,Forest,0.363122888
0-20,Wetland,1.162110161
0-20,Wetland,0.916284143
0-20,Forest,0.729638274
0-20,Wetland,1.045083464
0-20,Wetland,1.067361777
0-20,Wetland,1.025417293
0-20,Wetland,0.908883743
20-40,Wetland,0.748018929
0-20,Wetland,0.954265671
0-20,Wetland,0.460963959
0-20,Grassland,0.357500335
0-20,Forest,0.164578868
0-20,Wetland,1.14527847
0-20,Wetland,1.326992542
0-20,Wetland,1.158731486
0-20,Wetland,1.23802602
0-20,Wetland,0.839402621
20-40,Wetland,0.615655515
0-20,Wetland,1.230448921
0-20,Wetland,0.680081572
20-40,Wetland,0.595760686
0-20,Wetland,0.829020585
0-20,Wetland,0.610660163
20-40,Wetland,0.537768739
0-20,Wetland,0.667565014
0-20,Wetland,0.510115865
20-40,Wetland,0.501387941
0-20,Wetland,1.237821115
0-20,Wetland,0.83974445
20-40,Wetland,0.61500683
0-20,Wetland,1.230587873
0-20,Wetland,0.679340666
20-40,Wetland,0.595760686
0-20,Wetland,0.829720496
0-20,Wetland,0.610080717
20-40,Wetland,0.535825584
0-20,Wetland,0.667565014
0-20,Wetland,0.511573231
20-40,Wetland,0.502230414
0-20,Wetland,0.570584966
0-20,Wetland,0.731427587
0-20,Wetland,0.951030392
0-20,Wetland,0.896548262
20-40,Wetland,1.176841072
20-40,Wetland,1.189641322
20-40,Wetland,1.341651321
20-40,Wetland,1.220505573
40-60,Wetland,1.25555808
40-60,Wetland,1.251034899
40-60,Wetland,1.235354694
40-60,Wetland,1.231036099
0-20,Wetland,0.676678981
0-20,Wetland,0.811414126
0-20,Wetland,0.870570099
0-20,Wetland,0.908324139
20-40,Wetland,0.98099906
20-40,Wetland,1.377300422
20-40,Wetland,1.227529357
20-40,Wetland,1.199996933
40-60,Wetland,1.163089782
40-60,Wetland,1.168407905
40-60,Wetland,1.174964106
40-60,Wetland,1.205169706
0-20,Wetland,0.956480588
0-20,Wetland,0.928530012
0-20,Wetland,0.836873284
0-20,Wetland,0.989114178
0-20,Wetland,0.837854741
0-20,Wetland,0.71015292
0-20,Wetland,1.010242273
0-20,Wetland,1.033525079
0-20,Wetland,0.961039317
0-20,Wetland,0.991185303
0-20,Wetland,0.855286501
0-20,Wetland,0.705998767
0-20,Wetland,0.97982143
0-20,Wetland,0.787262057
0-20,Wetland,1.077043608
0-20,Wetland,1.066706745
0-20,Wetland,1.123360905
0-20,Wetland,1.186383299
0-20,Wetland,1.106552602
0-20,Wetland,1.235729388
0-20,Wetland,0.640775505
0-20,Wetland,0.976521462
0-20,Wetland,1.12699848
0-20,Wetland,1.114080968
0-20,Wetland,1.131255424
0-20,Wetland,0.942510055
20-40,Wetland,0.785275723
20-40,Wetland,0.653388126
40-60,Wetland,0.573892271
40-60,Wetland,0.538251915
0-20,Wetland,1.156609113
0-20,Wetland,0.899467016
20-40,Wetland,0.530192012
20-40,Wetland,0.479572431
40-60,Wetland,0.590083553
40-60,Wetland,0.556688369
0-20,Wetland,1.775943777
0-20,Wetland,1.370016893
0-20,Wetland,1.313713714
0-20,Wetland,1.267935415
0-20,Wetland,1.358586181
0-20,Wetland,1.083147729
0-20,Wetland,1.02057092
0-20,Wetland,1.004364371
0-20,Wetland,1.007408059
0-20,Wetland,1.001587481
0-20,Wetland,1.006364196
0-20,Wetland,1.009676908
0-20,Wetland,0.979968809
0-20,Wetland,0.948058734
20-40,Wetland,0.544564097
40-60,Wetland,0.324463545
0-20,Wetland,0.965728369
0-20,Wetland,0.918707476
20-40,Wetland,0.568858538
40-60,Wetland,0.326520192
0-20,Wetland,0.986917669
0-20,Wetland,0.92389549
20-40,Wetland,0.687279192
40-60,Wetland,0.262527025
0-20,Wetland,0.974995917
0-20,Wetland,0.929022259
20-40,Wetland,0.721051792
40-60,Wetland,0.287922599
0-20,Wetland,1.001667958
0-20,Wetland,0.975412506
20-40,Wetland,0.648789214
40-60,Wetland,0.352406363
0-20,Wetland,1.461508431
0-20,Wetland,1.175838716
20-40,Wetland,0.482873584
40-60,Wetland,0.363224514
0-20,Wetland,1.449609208
0-20,Wetland,1.215526002
20-40,Wetland,0.571475904
40-60,Wetland,0.437560319
0-20,Wetland,1.437374751
0-20,Wetland,1.215526002
20-40,Wetland,0.482873584
40-60,Wetland,0.272709328
0-20,Wetland,1.457547649
0-20,Wetland,1.179584534
20-40,Wetland,0.555142835
40-60,Wetland,0.437560319
0-20,Wetland,1.461508431
0-20,Wetland,1.205019668
20-40,Wetland,0.462278176
40-60,Wetland,0.389442527
0-20,Wetland,1.029156424
0-20,Wetland,0.874344956
20-40,Wetland,0.647148153
20-40,Wetland,0.250478555
40-60,Wetland,0.134336511
0-20,Wetland,0.8722099
0-20,Wetland,0.717815244
20-40,Wetland,0.501407106
20-40,Wetland,0.35758041
40-60,Wetland,0.194580938
0-20,Forest,0.81646005
0-20,Forest,0.601886239
20-40,Forest,0.455986239
20-40,Forest,0.140972885
40-60,Forest,0.144462117
0-20,Wetland,1.46146401
0-20,Wetland,1.00607907
0-20,Wetland,0.99490813
0-20,Wetland,1.011933965
0-20,Wetland,0.927733663
20-40,Wetland,0.557006452
0-20,Wetland,1.324305096
0-20,Grassland,0.990791564
0-20,Forest,0.765482282
0-20,Wetland,1.190970062
0-20,Wetland,0.648798963
20-40,Wetland,0.570356106
40-60,Wetland,0.17405399
0-20,Forest,1.253118864
0-20,Forest,0.548023154
20-40,Forest,0.23363058
40-60,Forest,0.207666676
0-20,Wetland,0.872076985
0-20,Wetland,0.644271142
20-40,Wetland,0.392352194
20-40,Wetland,0.380374072
