layer,log_stock,MAP
0-20,1.380580235,460.8
0-20,1.035602621,425
0-20,0.944632675,425
0-20,1.007597583,425
0-20,1.269527887,400
0-20,0.714825813,400
20-40,0.678951547,400
0-20,1.320649693,400
0-20,0.808750972,400
20-40,0.377634034,400
0-20,1.160955676,400
0-20,1.048323697,400
20-40,0.52376207,400
0-20,2.168521054,452
20-40,2.141161193,452
0-20,1.947869758,425
20-40,1.999099208,425
0-20,1.948991639,425
20-40,1.900397719,425
0-20,1.906020253,425
20-40,1.767636664,425
0-20,1.808605239,425
20-40,1.69592625,425
0-20,2.001106908,425
20-40,2.074939985,425
0-20,2.001683532,425
20-40,2.053700614,425
0-20,1.999661987,425
20-40,2.05085208,425
0-20,1.979113863,425
20-40,2.015931172,425
0-20,0.902002891,470
0-20,0.915682589,470
0-20,0.886980018,470
0-20,0.969321774,470
0-20,0.887878249,470
0-20,0.917362647,470
0-20,0.958145153,470
0-20,,600
0-20,,450
0-20,0.453544604,375
0-20,0.511412732,375
0-20,0.583896713,375
20-40,0.447874027,375
0-20,0.415260555,375
0-20,0.426472222,375
0-20,0.471015788,375
20-40,0.225526375,375
0-20,0.281397022,375
0-20,0.253270142,375
0-20,0.191786248,375
20-40,0.24663643,375
0-20,0.269456903,375
0-20,0.224035553,375
0-20,0.136885378,375
20-40,0.160102213,375
0-20,0.348764232,375
0-20,0.338560074,375
0-20,0.224035553,375
20-40,0.112081925,375
0-20,0.687503991,375
0-20,0.652934476,375
0-20,0.597260674,375
20-40,0.440329636,375
0-20,0.681393214,375
0-20,0.583896713,375
0-20,0.426472222,375
20-40,0.242655701,375
0-20,1.309223784,432
0-20,1.050091162,432
20-40,0.953193145,432
20-40,0.955855087,432
0-20,1.094198517,432
0-20,0.917362647,432
20-40,0.809195967,432
20-40,0.838153663,432
0-20,-0.016879105,474
0-20,-0.016879105,474
0-20,-0.016879105,474
0-20,-0.016879105,474
0-20,-0.016879105,474
0-20,-0.016879105,474
0-20,-0.016879105,474
0-20,-0.003488328,474
0-20,-0.080921908,474
0-20,-0.04383157,474
0-20,-0.20481541,474
0-20,-0.089375595,474
0-20,-0.092588639,474
0-20,-0.094743951,474
20-40,-0.295849483,474
20-40,-0.156767222,474
20-40,-0.145693958,474
20-40,-0.199282922,474
20-40,-0.225483034,474
20-40,-0.164943898,474
20-40,-0.206209615,474
0-20,0.92867232,564
0-20,1.007863802,750
0-20,0.979045504,750
0-20,1.007476366,750
20-40,1.076591806,750
0-20,0.565375503,375
0-20,0.51054501,375
0-20,0.441852176,375
20-40,0.292256071,375
0-20,0.903159469,470
0-20,0.916803349,470
0-20,0.889073007,470
0-20,0.970559786,470
0-20,0.889073007,470
0-20,0.916803349,470
0-20,0.958526615,470
0-20,0.788493617,470
0-20,0.80617726,470
0-20,0.750807592,470
0-20,0.750807592,470
0-20,0.765325751,470
0-20,0.745858314,470
0-20,0.801823394,470
0-20,1.29578694,560
20-40,1.179838928,560
0-20,1.156609718,560
20-40,1.180068501,560
0-20,1.233909453,560
20-40,1.18999534,560
0-20,1.28546729,560
20-40,1.194292282,560
0-20,1.285647309,560
20-40,1.114610984,560
0-20,1.162862993,560
20-40,1.132835804,560
0-20,1.240549248,560
20-40,1.122150319,560
0-20,1.270119599,560
20-40,1.139123134,560
0-20,1.123417129,566.4
0-20,1.230127936,381.9
0-20,1.312118939,488.6
0-20,1.123417129,566.4
0-20,1.230127936,381.9
0-20,1.312118939,488.6
0-20,1.123417129,566.4
0-20,1.230071176,381.9
0-20,1.312118939,488.6
0-20,0.834339306,566.4
0-20,0.965237459,381.9
0-20,1.173851483,488.6
0-20,0.850143658,566.4
0-20,0.988421602,381.9
0-20,1.195342181,488.6
0-20,0.857835263,566.4
0-20,0.988421602,381.9
0-20,1.195342181,488.6
20-40,0.779382899,566.4
20-40,0.779382899,381.9
20-40,0.757273012,488.6
20-40,0.779382899,566.4
20-40,0.779382899,381.9
20-40,0.757273012,488.6
20-40,0.779382899,566.4
20-40,0.779382899,381.9
20-40,0.757273012,488.6
0-20,1.951196812,750
0-20,1.951196812,750
0-20,2.004445882,750
0-20,1.989142855,750
20-40,2.048289813,750
20-40,2.058427695,750
0-20,1.176410815,502.5
0-20,1.079710795,502.5
0-20,1.053757443,502.5
0-20,0.900747208,502.5
0-20,0.960303339,502.5
0-20,0.864553829,502.5
0-20,0.684953025,530.5
0-20,0.504062883,530.5
0-20,0.543163771,450
0-20,0.287264126,364
0-20,0.292078772,364
0-20,0.34182215,364
0-20,0.276213565,364
0-20,0.413182371,364
0-20,0.246301577,364
0-20,0.240549248,364
0-20,0.264496704,364
0-20,0.293954471,364
0-20,0.21571157,364
0-20,0.328770904,364
0-20,0.153363573,364
0-20,0.792489745,550
0-20,1.088855238,550
20-40,0.854777898,550
0-20,0.901449471,550
20-40,0.553184433,550
0-20,0.892274908,461
0-20,0.892683739,461
0-20,1.022176243,461
0-20,0.784210736,461
0-20,0.386677284,413.7
0-20,0.522704993,413.7
0-20,0.455758203,413.7
0-20,0.629001619,413.7
0-20,0.691435152,413.7
0-20,0.867632453,555
0-20,1.07471407,555
0-20,0.314183339,445
0-20,0.38344552,445
0-20,0.365398122,445
0-20,0.245083096,445
0-20,0.460711462,445
0-20,0.370350222,445
0-20,0.370350222,445
0-20,0.420516831,445
0-20,0.809142053,550
0-20,0.561602204,413.7
0-20,0.489339626,413.7
0-20,0.40715287,413.7
20-40,0.351022885,413.7
20-40,0.213995649,413.7
0-20,1.137508682,560
0-20,1.090363225,560
0-20,1.037609037,560
0-20,1.711915831,522
0-20,1.727233238,522
0-20,1.626658118,522
20-40,1.740687263,522
0-20,0.500428598,413.7
0-20,0.433481808,413.7
0-20,0.606725225,413.7
0-20,0.701343441,413.7
0-20,1.106427535,566
0-20,1.170591798,583
0-20,1.402031858,583
0-20,1.529976711,583
0-20,1.339262323,583
0-20,0.632760888,507.7
0-20,0.598067905,413.7
0-20,0.332519251,402
0-20,0.402364569,620
0-20,0.650424097,402.4
0-20,0.054613055,377.9
0-20,0.315214393,400
0-20,0.250615147,413.7
0-20,0.488832634,420.6
0-20,0.463713862,446.2
0-20,0.634474932,420
0-20,0.516493962,420
20-40,0.476499429,420
0-20,0.637457224,420
0-20,0.572213711,420
20-40,0.504961004,420
0-20,0.538081879,420
0-20,0.547994447,420
20-40,0.472461181,420
0-20,0.394703519,420
0-20,0.517596933,420
20-40,0.427144822,420
0-20,0.586532481,475
0-20,0.584936962,475
20-40,0.536151093,475
0-20,0.645201079,475
0-20,0.515818543,475
20-40,0.473156608,475
0-20,0.672794075,475
0-20,0.413711963,475
20-40,0.345889756,475
0-20,0.548906472,475
0-20,0.507348624,475
20-40,0.502116477,475
0-20,0.16070732,417.2
0-20,0.200864458,417.2
20-40,0.202795432,417.2
0-20,0.098519258,417.2
0-20,0.088896297,417.2
20-40,-0.022117322,417.2
0-20,0.214081302,417.2
0-20,0.130744096,417.2
20-40,0.049334966,417.2
0-20,0.374250617,417.2
0-20,0.27131861,417.2
20-40,0.08027149,417.2
0-20,-0.563455723,420.6
0-20,-0.684029655,420.6
20-40,-0.606459893,420.6
20-40,-0.674484337,420.6
0-20,0.536487738,420.6
0-20,0.490472582,420.6
20-40,0.371082647,420.6
20-40,0.307234955,420.6
0-20,0.219060332,415.4
0-20,-0.077648289,415.4
20-40,-0.206265477,415.4
20-40,-0.328197933,415.4
0-20,0.106653173,428
20-40,0.024805729,428
0-20,0.028408565,428
20-40,0.171726454,428
0-20,0.407815642,428
20-40,0.28057837,428
0-20,0.331439444,428
20-40,0.265148139,428
0-20,0.234122291,428
20-40,0.171726454,428
0-20,0.386677284,410
0-20,0.522704993,410
0-20,0.455758203,410
0-20,0.629001619,410
0-20,0.691435152,410
0-20,0.957825576,600
20-40,0.363122888,600
0-20,1.162110161,585
0-20,0.916284143,454
0-20,0.729638274,454
0-20,1.045083464,558
0-20,1.067361777,558
0-20,1.025417293,600
0-20,0.908883743,600
20-40,0.748018929,600
0-20,0.954265671,585
0-20,0.460963959,600
0-20,0.357500335,600
0-20,0.164578868,600
0-20,1.14527847,585
0-20,1.326992542,575
0-20,1.158731486,575
0-20,1.23802602,600
0-20,0.839402621,600
20-40,0.615655515,600
0-20,1.230448921,600
0-20,0.680081572,600
20-40,0.595760686,600
0-20,0.829020585,600
0-20,0.610660163,600
20-40,0.537768739,600
0-20,0.667565014,600
0-20,0.510115865,600
20-40,0.501387941,600
0-20,1.237821115,600
0-20,0.83974445,600
