layer,log_stock,NDVI
0-20,1.500949647,0.510347
0-20,1.493474781,0.491865
0-20,1.297436584,0.491865
0-20,1.146580707,0.491865
0-20,1.45805437,0.491865
0-20,1.396706948,0.491865
0-20,1.380580235,0.491865
0-20,1.035602621,0.491865
0-20,0.944632675,0.491865
0-20,1.007597583,0.491865
0-20,1.269527887,0.4415
0-20,0.714825813,0.4415
20-40,0.678951547,0.300196
0-20,1.320649693,0.454498
0-20,0.808750972,0.447456
20-40,0.377634034,0.447456
0-20,1.160955676,0.4515
0-20,1.048323697,0.4515
20-40,0.52376207,0.340964
0-20,2.168521054,0.340964
20-40,2.141161193,0.351748
0-20,1.947869758,0.351748
20-40,1.999099208,0.407584
0-20,1.948991639,0.407584
20-40,1.900397719,0.371013
0-20,1.906020253,0.371013
20-40,1.767636664,0.440946
0-20,1.808605239,0.440946
20-40,1.69592625,0.31882
0-20,2.001106908,0.31882
20-40,2.074939985,0.31882
0-20,2.001683532,0.31882
20-40,2.053700614,0.31882
0-20,1.999661987,0.31882
20-40,2.05085208,0.31882
0-20,1.979113863,0.17475
20-40,2.015931172,0.131454
0-20,0.902002891,0.240036
0-20,0.915682589,0.240036
0-20,0.886980018,0.240036
0-20,0.969321774,0.240036
0-20,0.887878249,0.240036
0-20,0.917362647,0.240036
0-20,0.958145153,0.240036
0-20,,0.240036
0-20,,0.240036
0-20,0.453544604,0.240036
0-20,0.511412732,0.240036
0-20,0.583896713,0.240036
20-40,0.447874027,0.240036
0-20,0.415260555,0.240036
0-20,0.426472222,0.240036
0-20,0.471015788,0.240036
20-40,0.225526375,0.240036
0-20,0.281397022,0.240036
0-20,0.253270142,0.240036
0-20,0.191786248,0.240036
20-40,0.24663643,0.240036
0-20,0.269456903,0.240036
0-20,0.224035553,0.240036
0-20,0.136885378,0.240036
20-40,0.160102213,0.240036
0-20,0.348764232,0.240036
0-20,0.338560074,0.240036
0-20,0.224035553,0.240036
20-40,0.112081925,0.240036
0-20,0.687503991,0.240036
0-20,0.652934476,0.240036
0-20,0.597260674,0.240036
20-40,0.440329636,0.240036
0-20,0.681393214,0.31882
0-20,0.583896713,0.31882
0-20,0.426472222,0.31882
20-40,0.242655701,0.31882
0-20,1.309223784,0.31882
0-20,1.050091162,0.31882
20-40,0.953193145,0.31882
20-40,0.955855087,0.31882
0-20,1.094198517,0.350359
0-20,0.917362647,0.350359
20-40,0.809195967,0.350359
20-40,0.838153663,0.350359
0-20,-0.016879105,0.350359
0-20,-0.016879105,0.350359
0-20,-0.016879105,0.350359
0-20,-0.016879105,0.350359
0-20,-0.016879105,0.350359
0-20,-0.016879105,0.350359
0-20,-0.016879105,0.350359
0-20,-0.003488328,0.350359
0-20,-0.080921908,0.350359
0-20,-0.04383157,0.350359
0-20,-0.20481541,0.350359
0-20,-0.089375595,0.350359
0-20,-0.092588639,0.350359
0-20,-0.094743951,0.350359
20-40,-0.295849483,0.350359
20-40,-0.156767222,0.350359
20-40,-0.145693958,0.350359
20-40,-0.199282922,0.350359
20-40,-0.225483034,0.350359
20-40,-0.164943898,0.350359
20-40,-0.206209615,0.350359
0-20,0.92867232,0.30989
0-20,1.007863802,0.30989
0-20,0.979045504,0.30989
0-20,1.007476366,0.31882
20-40,1.076591806,0.31882
0-20,0.565375503,0.31882
0-20,0.51054501,0.31882
0-20,0.441852176,0.31882
20-40,0.292256071,0.31882
0-20,0.903159469,0.31882
0-20,0.916803349,0.31882
0-20,0.889073007,0.31882
0-20,0.970559786,0.31882
0-20,0.889073007,0.31882
0-20,0.916803349,0.304837
0-20,0.958526615,0.304837
0-20,0.788493617,0.304837
0-20,0.80617726,0.304837
0-20,0.750807592,0.304837
0-20,0.750807592,0.304837
0-20,0.765325751,0.304837
0-20,0.745858314,0.304837
0-20,0.801823394,0.304837
0-20,1.29578694,0.304837
20-40,1.179838928,0.304837
0-20,1.156609718,0.304837
20-40,1.180068501,0.304837
0-20,1.233909453,0.304837
20-40,1.18999534,0.304837
0-20,1.28546729,0.304837
20-40,1.194292282,0.304837
0-20,1.285647309,0.304837
20-40,1.114610984,0.304837
0-20,1.162862993,0.356784
20-40,1.132835804,0.356784
0-20,1.240549248,0.356784
20-40,1.122150319,0.356784
0-20,1.270119599,0.356784
20-40,1.139123134,0.356784
0-20,1.123417129,0.356784
0-20,1.230127936,0.356784
0-20,1.312118939,0.356784
0-20,1.123417129,0.356784
0-20,1.230127936,0.356784
0-20,1.312118939,0.356784
0-20,1.123417129,0.356784
0-20,1.230071176,0.356784
0-20,1.312118939,0.356784
0-20,0.834339306,0.356784
0-20,0.965237459,0.356784
0-20,1.173851483,0.356784
0-20,0.850143658,0.356784
0-20,0.988421602,0.356784
0-20,1.195342181,0.356784
0-20,0.857835263,0.356784
0-20,0.988421602,0.356784
0-20,1.195342181,0.356784
20-40,0.779382899,0.314597
20-40,0.779382899,0.314597
20-40,0.757273012,0.314597
20-40,0.779382899,0.314597
20-40,0.779382899,0.314597
20-40,0.757273012,0.314597
20-40,0.779382899,0.310669
20-40,0.779382899,0.310669
20-40,0.757273012,0.310669
0-20,1.951196812,0.310669
0-20,1.951196812,0.310669
0-20,2.004445882,0.310669
0-20,1.989142855,0.244314
20-40,2.048289813,0.244314
20-40,2.058427695,0.299302
0-20,1.176410815,0.244046
0-20,1.079710795,0.244046
0-20,1.053757443,0.244046
0-20,0.900747208,0.244046
0-20,0.960303339,0.244046
0-20,0.864553829,0.244046
0-20,0.684953025,0.244046
0-20,0.504062883,0.244046
0-20,0.543163771,0.244046
0-20,0.287264126,0.244046
0-20,0.292078772,0.244046
0-20,0.34182215,0.244046
0-20,0.276213565,0.32083
0-20,0.413182371,0.330667
0-20,0.246301577,0.330667
0-20,0.240549248,0.379765
0-20,0.264496704,0.379765
0-20,0.293954471,0.298315
0-20,0.21571157,0.298315
0-20,0.328770904,0.298315
0-20,0.153363573,0.298315
0-20,0.792489745,0.188192
0-20,1.088855238,0.188192
20-40,0.854777898,0.188192
0-20,0.901449471,0.188192
20-40,0.553184433,0.188192
0-20,0.892274908,0.265342
0-20,0.892683739,0.265342
0-20,1.022176243,0.31882
0-20,0.784210736,0.31882
0-20,0.386677284,0.31882
0-20,0.522704993,0.31882
0-20,0.455758203,0.31882
0-20,0.629001619,0.31882
0-20,0.691435152,0.31882
0-20,0.867632453,0.31882
0-20,1.07471407,0.32083
0-20,0.314183339,0.188192
0-20,0.38344552,0.188192
0-20,0.365398122,0.188192
0-20,0.245083096,0.188192
0-20,0.460711462,0.188192
0-20,0.370350222,0.370808
0-20,0.370350222,0.370808
0-20,0.420516831,0.370808
0-20,0.809142053,0.370996
0-20,0.561602204,0.370996
0-20,0.489339626,0.370996
0-20,0.40715287,0.370996
20-40,0.351022885,0.188192
20-40,0.213995649,0.188192
0-20,1.137508682,0.188192
0-20,1.090363225,0.188192
0-20,1.037609037,0.304837
0-20,1.711915831,0.304837
0-20,1.727233238,0.304837
0-20,1.626658118,0.304837
20-40,1.740687263,0.304837
0-20,0.500428598,0.298225
0-20,0.433481808,0.237852
0-20,0.606725225,0.241662
0-20,0.701343441,0.305627
0-20,1.106427535,0.241617
0-20,1.170591798,0.274681
0-20,1.402031858,0.273992
0-20,1.529976711,0.25031
0-20,1.339262323,0.287042
0-20,0.632760888,0.226803
0-20,0.598067905,0.317489
0-20,0.332519251,0.317489
0-20,0.402364569,0.317489
0-20,0.650424097,0.317489
0-20,0.054613055,0.317489
0-20,0.315214393,0.317489
0-20,0.250615147,0.317489
0-20,0.488832634,0.317489
0-20,0.463713862,0.317489
0-20,0.634474932,0.317489
0-20,0.516493962,0.317489
20-40,0.476499429,0.317489
0-20,0.637457224,0.333588
0-20,0.572213711,0.333588
20-40,0.504961004,0.333588
0-20,0.538081879,0.333588
0-20,0.547994447,0.333588
20-40,0.472461181,0.333588
0-20,0.394703519,0.333588
0-20,0.517596933,0.333588
20-40,0.427144822,0.333588
0-20,0.586532481,0.333588
0-20,0.584936962,0.333588
20-40,0.536151093,0.333588
0-20,0.645201079,0.296508
0-20,0.515818543,0.296508
20-40,0.473156608,0.296508
0-20,0.672794075,0.296508
0-20,0.413711963,0.296508
20-40,0.345889756,0.296508
0-20,0.548906472,0.296508
0-20,0.507348624,0.296508
20-40,0.502116477,0.296508
0-20,0.16070732,0.296508
0-20,0.200864458,0.296508
20-40,0.202795432,0.296508
0-20,0.098519258,0.31435
0-20,0.088896297,0.31435
20-40,-0.022117322,0.31435
0-20,0.214081302,0.31435
0-20,0.130744096,0.31435
20-40,0.049334966,0.315282
0-20,0.374250617,0.315282
0-20,0.27131861,0.315282
20-40,0.08027149,0.315282
0-20,-0.563455723,0.315282
0-20,-0.684029655,0.31435
20-40,-0.606459893,0.31435
20-40,-0.674484337,0.31435
0-20,0.536487738,0.31435
0-20,0.490472582,0.301521
20-40,0.371082647,0.301521
20-40,0.307234955,0.301521
0-20,0.219060332,0.301521
0-20,-0.077648289,0.301521
20-40,-0.206265477,0.301521
20-40,-0.328197933,0.301521
0-20,0.106653173,0.301521
