layer,log_stock,NDSI
0-20,1.312118939,21.6867008
0-20,1.123417129,21.6867008
0-20,1.230127936,21.6867008
0-20,1.312118939,21.6867008
0-20,1.123417129,21.6867008
0-20,1.230071176,21.6867008
0-20,1.312118939,21.6867008
0-20,0.834339306,21.6867008
0-20,0.965237459,21.6867008
0-20,1.173851483,21.6867008
0-20,0.850143658,21.6867008
0-20,0.988421602,21.6867008
0-20,1.195342181,21.6867008
0-20,0.857835263,21.6867008
0-20,0.988421602,21.6867008
0-20,1.195342181,21.6867008
20-40,0.779382899,21.6867008
20-40,0.779382899,21.6867008
20-40,0.757273012,21.6867008
20-40,0.779382899,21.6867008
20-40,0.779382899,21.6867008
20-40,0.757273012,21.6867008
20-40,0.779382899,21.6867008
20-40,0.779382899,21.6867008
20-40,0.757273012,21.6867008
0-20,1.951196812,13.9463997
0-20,1.951196812,13.9463997
0-20,2.004445882,13.9463997
0-20,1.989142855,13.9463997
20-40,2.048289813,13.9463997
20-40,2.058427695,13.9463997
0-20,1.176410815,23.7579002
0-20,1.079710795,23.7579002
0-20,1.053757443,23.7579002
0-20,0.900747208,23.7579002
0-20,0.960303339,23.7579002
0-20,0.864553829,23.7579002
0-20,0.684953025,8.9221601
0-20,0.504062883,8.9221601
0-20,0.543163771,6.0672302
0-20,0.287264126,7.3221402
0-20,0.292078772,7.3221402
0-20,0.34182215,7.3221402
0-20,0.276213565,7.3221402
0-20,0.413182371,7.3221402
0-20,0.246301577,7.3221402
0-20,0.240549248,7.3221402
0-20,0.264496704,7.3221402
0-20,0.293954471,7.3221402
0-20,0.21571157,7.3221402
0-20,0.328770904,7.3221402
0-20,0.153363573,7.3221402
0-20,0.792489745,21.6527996
0-20,1.088855238,24.5580006
20-40,0.854777898,24.5580006
0-20,0.901449471,20.7413998
20-40,0.553184433,20.7413998
0-20,0.892274908,25.6452999
0-20,0.892683739,25.6452999
0-20,1.022176243,25.6452999
0-20,0.784210736,25.6452999
0-20,0.386677284,7.35535
0-20,0.522704993,7.35535
0-20,0.455758203,7.35535
0-20,0.629001619,7.35535
0-20,0.691435152,7.35535
0-20,0.867632453,
0-20,1.07471407,
0-20,0.314183339,7.9904299
0-20,0.38344552,7.9904299
0-20,0.365398122,7.9904299
0-20,0.245083096,7.9904299
0-20,0.460711462,7.9904299
0-20,0.370350222,7.9904299
0-20,0.370350222,7.9904299
0-20,0.420516831,7.9904299
0-20,0.809142053,21.6527996
0-20,0.561602204,7.35535
0-20,0.489339626,7.35535
0-20,0.40715287,7.35535
20-40,0.351022885,7.35535
20-40,0.213995649,7.35535
0-20,1.137508682,21.9676991
0-20,1.090363225,21.9676991
0-20,1.037609037,21.9676991
0-20,1.711915831,12.1014004
0-20,1.727233238,12.1014004
0-20,1.626658118,12.1014004
20-40,1.740687263,12.1014004
0-20,0.500428598,7.35535
0-20,0.433481808,7.35535
0-20,0.606725225,7.35535
0-20,0.701343441,7.35535
0-20,1.106427535,21.0009003
0-20,1.170591798,21.0009003
0-20,1.402031858,21.0009003
0-20,1.529976711,21.0009003
0-20,1.339262323,21.0009003
0-20,0.632760888,8.31287
0-20,0.598067905,7.9994602
0-20,0.332519251,9.3179903
0-20,0.402364569,6.8749399
0-20,0.650424097,6.5747099
0-20,0.054613055,5.7525401
0-20,0.315214393,6.0475402
0-20,0.250615147,7.0640802
0-20,0.488832634,7.1403098
0-20,0.463713862,5.26862
0-20,0.634474932,9.4251204
0-20,0.516493962,9.4251204
20-40,0.476499429,9.4251204
0-20,0.637457224,9.4251204
0-20,0.572213711,9.4251204
20-40,0.504961004,9.4251204
0-20,0.538081879,9.4251204
0-20,0.547994447,9.4251204
20-40,0.472461181,9.4251204
0-20,0.394703519,9.4251204
0-20,0.517596933,9.4251204
20-40,0.427144822,9.4251204
0-20,0.586532481,16.7315006
0-20,0.584936962,16.7315006
20-40,0.536151093,16.7315006
0-20,0.645201079,16.7315006
0-20,0.515818543,16.7315006
20-40,0.473156608,16.7315006
0-20,0.672794075,16.7315006
0-20,0.413711963,16.7315006
20-40,0.345889756,16.7315006
0-20,0.548906472,16.7315006
0-20,0.507348624,16.7315006
20-40,0.502116477,16.7315006
0-20,0.16070732,12.4636002
0-20,0.200864458,12.4636002
20-40,0.202795432,12.4636002
0-20,0.098519258,12.4636002
0-20,0.088896297,12.4636002
20-40,-0.022117322,12.4636002
0-20,0.214081302,12.4636002
0-20,0.130744096,12.4636002
20-40,0.049334966,12.4636002
0-20,0.374250617,12.4636002
0-20,0.27131861,12.4636002
20-40,0.08027149,12.4636002
0-20,-0.563455723,9.7454796
0-20,-0.684029655,9.7454796
20-40,-0.606459893,9.7454796
20-40,-0.674484337,9.7454796
0-20,0.536487738,8.6297798
0-20,0.490472582,8.6297798
20-40,0.371082647,8.6297798
20-40,0.307234955,8.6297798
0-20,0.219060332,9.7454796
0-20,-0.077648289,9.7454796
20-40,-0.206265477,9.7454796
20-40,-0.328197933,9.7454796
0-20,0.106653173,17.3120995
20-40,0.024805729,17.3120995
0-20,0.028408565,17.3120995
20-40,0.171726454,17.3120995
0-20,0.407815642,17.3120995
20-40,0.28057837,17.3120995
0-20,0.331439444,17.3120995
20-40,0.265148139,17.3120995
0-20,0.234122291,17.3120995
20-40,0.171726454,17.3120995
0-20,0.386677284,12.4492998
0-20,0.522704993,12.4492998
0-20,0.455758203,12.4492998
0-20,0.629001619,12.4492998
0-20,0.691435152,12.4492998
0-20,0.957825576,24.1355991
20-40,0.363122888,24.1355991
0-20,1.162110161,14.2486
0-20,0.916284143,14.7769003
0-20,0.729638274,14.7769003
0-20,1.045083464,21.0009003
0-20,1.067361777,21.0009003
0-20,1.025417293,14.8360996
0-20,0.908883743,14.8360996
20-40,0.748018929,14.8360996
0-20,0.954265671,14.2486
0-20,0.460963959,21.0009003
0-20,0.357500335,21.0009003
0-20,0.164578868,21.0009003
0-20,1.14527847,14.9361
0-20,1.326992542,21.0009003
0-20,1.158731486,21.0009003
0-20,1.23802602,14.2486
0-20,0.839402621,14.2486
20-40,0.615655515,14.2486
0-20,1.230448921,14.2486
0-20,0.680081572,14.2486
20-40,0.595760686,14.2486
0-20,0.829020585,14.2486
0-20,0.610660163,14.2486
20-40,0.537768739,14.2486
0-20,0.667565014,14.2486
0-20,0.510115865,14.2486
20-40,0.501387941,14.2486
0-20,1.237821115,14.2486
0-20,0.83974445,14.2486
20-40,0.61500683,14.2486
0-20,1.230587873,14.2486
0-20,0.679340666,14.2486
20-40,0.595760686,14.2486
0-20,0.829720496,14.2486
0-20,0.610080717,14.2486
20-40,0.535825584,14.2486
0-20,0.667565014,14.2486
0-20,0.511573231,14.2486
20-40,0.502230414,14.2486
0-20,0.570584966,9.3055
0-20,0.731427587,9.3055
0-20,0.951030392,9.3055
0-20,0.896548262,9.3055
20-40,1.176841072,9.3055
20-40,1.189641322,9.3055
20-40,1.341651321,9.3055
20-40,1.220505573,9.3055
0-20,0.676678981,9.3055
0-20,0.811414126,9.3055
0-20,0.870570099,9.3055
0-20,0.908324139,9.3055
20-40,0.98099906,9.3055
20-40,1.377300422,9.3055
20-40,1.227529357,9.3055
20-40,1.199996933,9.3055
0-20,0.956480588,17.3008995
0-20,0.928530012,17.3008995
0-20,0.836873284,17.3008995
0-20,0.989114178,16.9839993
0-20,0.837854741,16.9839993
0-20,0.71015292,16.9839993
0-20,1.010242273,16.9839993
0-20,1.033525079,16.9839993
0-20,0.961039317,16.9839993
0-20,0.991185303,11.6364002
0-20,0.855286501,11.6364002
0-20,0.705998767,11.6364002
0-20,0.97982143,21.0009003
0-20,0.787262057,21.0009003
0-20,1.077043608,22.4302006
0-20,1.066706745,22.4302006
0-20,1.123360905,22.4302006
0-20,1.186383299,22.4302006
0-20,1.106552602,22.4302006
0-20,1.235729388,22.4302006
0-20,0.640775505,22.4302006
0-20,0.976521462,22.4302006
0-20,1.12699848,22.4302006
0-20,1.114080968,22.4302006
0-20,1.131255424,21.0009003
0-20,0.942510055,21.0009003
20-40,0.785275723,21.0009003
20-40,0.653388126,21.0009003
0-20,1.156609113,23.6172009
0-20,0.899467016,23.6172009
20-40,0.530192012,23.6172009
20-40,0.479572431,23.6172009
0-20,1.775943777,21.0009003
0-20,1.370016893,21.0009003
0-20,1.313713714,26.0391998
0-20,1.267935415,22.4941006
0-20,1.358586181,23.2588005
0-20,1.083147729,21.0009003
0-20,1.02057092,21.0009003
0-20,1.004364371,21.0009003
0-20,1.007408059,21.0009003
0-20,1.001587481,21.0009003
0-20,1.006364196,21.0009003
0-20,1.009676908,21.0009003
0-20,0.979968809,21.4880009
0-20,0.948058734,21.4880009
20-40,0.544564097,21.4880009
0-20,0.965728369,21.4880009
0-20,0.918707476,21.4880009
20-40,0.568858538,21.4880009
0-20,0.986917669,21.4880009
0-20,0.92389549,21.4880009
20-40,0.687279192,21.4880009
0-20,0.974995917,21.4880009
0-20,0.929022259,21.4880009
20-40,0.721051792,21.4880009
0-20,1.001667958,21.4880009
0-20,0.975412506,21.4880009
20-40,0.648789214,21.4880009
0-20,1.461508431,21.4880009
0-20,1.175838716,21.4880009
20-40,0.482873584,21.4880009
0-20,1.449609208,21.4880009
0-20,1.215526002,21.4880009
20-40,0.571475904,21.4880009
0-20,1.437374751,21.4880009
0-20,1.215526002,21.4880009
20-40,0.482873584,21.4880009
0-20,1.457547649,21.4880009
0-20,1.179584534,21.4880009
20-40,0.555142835,21.4880009
0-20,1.461508431,21.4880009
0-20,1.205019668,21.4880009
20-40,0.462278176,21.4880009
0-20,1.029156424,21.0009003
0-20,0.874344956,21.0009003
20-40,0.647148153,21.0009003
20-40,0.250478555,21.0009003
0-20,0.8722099,21.0009003
0-20,0.717815244,21.0009003
20-40,0.501407106,21.0009003
20-40,0.35758041,21.0009003
0-20,0.81646005,21.0009003
0-20,0.601886239,21.0009003
20-40,0.455986239,21.0009003
20-40,0.140972885,21.0009003
