layer,log_stock,pH
0-20,0.915682589,7.4000001
0-20,0.886980018,7.4000001
0-20,0.969321774,7.4000001
0-20,0.887878249,7.4000001
0-20,0.917362647,7.4000001
0-20,0.958145153,7.4000001
0-20,,4.5
0-20,,5.6
0-20,0.453544604,9.6
0-20,0.511412732,9.6
0-20,0.583896713,9.6
20-40,0.447874027,9.6
0-20,0.415260555,10.2
0-20,0.426472222,10.2
0-20,0.471015788,10.2
20-40,0.225526375,10.2
0-20,0.281397022,9.8
0-20,0.253270142,9.8
0-20,0.191786248,9.8
20-40,0.24663643,9.8
0-20,0.269456903,10
0-20,0.224035553,10
0-20,0.136885378,10
20-40,0.160102213,10
0-20,0.348764232,9.5
0-20,0.338560074,9.5
0-20,0.224035553,9.5
20-40,0.112081925,9.5
0-20,0.687503991,9.4
0-20,0.652934476,9.4
0-20,0.597260674,9.4
20-40,0.440329636,9.4
0-20,0.681393214,9.5
0-20,0.583896713,9.5
0-20,0.426472222,9.5
20-40,0.242655701,9.5
0-20,1.309223784,7.14
0-20,1.050091162,7.28
20-40,0.953193145,7.19
20-40,0.955855087,7.32
0-20,1.094198517,7.16
0-20,0.917362647,7.74
20-40,0.809195967,7.69
20-40,0.838153663,8.89
0-20,-0.016879105,6.9000001
0-20,-0.016879105,6.04
0-20,-0.016879105,5.86
0-20,-0.016879105,6.04
0-20,-0.016879105,5.34
0-20,-0.016879105,5.9
0-20,-0.016879105,5.79
0-20,-0.003488328,6.9000001
0-20,-0.080921908,6.21
0-20,-0.04383157,5.9
0-20,-0.20481541,6.21
0-20,-0.089375595,5.71
0-20,-0.092588639,6.33
0-20,-0.094743951,6.23
20-40,-0.295849483,6.8000002
20-40,-0.156767222,6.8000002
20-40,-0.145693958,6.8000002
20-40,-0.199282922,6.8000002
20-40,-0.225483034,6.8000002
20-40,-0.164943898,6.8000002
20-40,-0.206209615,6.8000002
0-20,0.92867232,8.7
0-20,1.007863802,6
0-20,0.979045504,6
0-20,1.007476366,6
20-40,1.076591806,6
0-20,0.565375503,8.35
0-20,0.51054501,8.91
0-20,0.441852176,9.27
20-40,0.292256071,9.26
0-20,0.903159469,7.4000001
0-20,0.916803349,7.4000001
0-20,0.889073007,7.4000001
0-20,0.970559786,7.4000001
0-20,0.889073007,7.4000001
0-20,0.916803349,7.4000001
0-20,0.958526615,7.4000001
0-20,0.788493617,7.4000001
0-20,0.80617726,7.4000001
0-20,0.750807592,7.4000001
0-20,0.750807592,7.4000001
0-20,0.765325751,7.4000001
0-20,0.745858314,7.4000001
0-20,0.801823394,7.4000001
0-20,1.29578694,6.6999998
20-40,1.179838928,7.0999999
0-20,1.156609718,6.6999998
20-40,1.180068501,7.0999999
0-20,1.233909453,6.6999998
20-40,1.18999534,7.0999999
0-20,1.28546729,6.6999998
20-40,1.194292282,7.0999999
0-20,1.285647309,6.6999998
20-40,1.114610984,7.0999999
0-20,1.162862993,6.6999998
20-40,1.132835804,7.0999999
0-20,1.240549248,6.6999998
20-40,1.122150319,7.0999999
0-20,1.270119599,6.6999998
20-40,1.139123134,7.0999999
0-20,1.123417129,6.6999998
0-20,1.230127936,6.6999998
0-20,1.312118939,6.6999998
0-20,1.123417129,6.6999998
0-20,1.230127936,6.6999998
0-20,1.312118939,6.6999998
0-20,1.123417129,6.6999998
0-20,1.230071176,6.6999998
0-20,1.312118939,6.6999998
0-20,0.834339306,6.6999998
0-20,0.965237459,6.6999998
0-20,1.173851483,6.6999998
0-20,0.850143658,6.6999998
0-20,0.988421602,6.6999998
0-20,1.195342181,6.6999998
0-20,0.857835263,6.6999998
0-20,0.988421602,6.6999998
0-20,1.195342181,6.6999998
20-40,0.779382899,7.0999999
20-40,0.779382899,7.0999999
20-40,0.757273012,7.0999999
20-40,0.779382899,7.0999999
20-40,0.779382899,7.0999999
20-40,0.757273012,7.0999999
