layer,log_stock,MAT
0-20,0.471015788,5.7
20-40,0.225526375,5.7
0-20,0.281397022,5.7
0-20,0.253270142,5.7
0-20,0.191786248,5.7
20-40,0.24663643,5.7
0-20,0.269456903,5.7
0-20,0.224035553,5.7
0-20,0.136885378,5.7
20-40,0.160102213,5.7
0-20,0.348764232,5.7
0-20,0.338560074,5.7
0-20,0.224035553,5.7
20-40,0.112081925,5.7
0-20,0.687503991,5.7
0-20,0.652934476,5.7
0-20,0.597260674,5.7
20-40,0.440329636,5.7
0-20,0.681393214,5.7
0-20,0.583896713,5.7
0-20,0.426472222,5.7
20-40,0.242655701,5.7
0-20,1.309223784,5.5
0-20,1.050091162,5.5
20-40,0.953193145,5.5
20-40,0.955855087,5.5
0-20,1.094198517,5.5
0-20,0.917362647,5.5
20-40,0.809195967,5.5
20-40,0.838153663,5.5
0-20,-0.016879105,7.7
0-20,-0.016879105,7.7
0-20,-0.016879105,7.7
0-20,-0.016879105,7.7
0-20,-0.016879105,7.7
0-20,-0.016879105,7.7
0-20,-0.016879105,7.7
0-20,-0.003488328,7.7
0-20,-0.080921908,7.7
0-20,-0.04383157,7.7
0-20,-0.20481541,7.7
0-20,-0.089375595,7.7
0-20,-0.092588639,7.7
0-20,-0.094743951,7.7
20-40,-0.295849483,7.7
20-40,-0.156767222,7.7
20-40,-0.145693958,7.7
20-40,-0.199282922,7.7
20-40,-0.225483034,7.7
20-40,-0.164943898,7.7
20-40,-0.206209615,7.7
0-20,0.92867232,5
0-20,1.007863802,3.1
0-20,0.979045504,3.1
0-20,1.007476366,3.1
20-40,1.076591806,3.1
0-20,0.565375503,5.5
0-20,0.51054501,5.5
0-20,0.441852176,5.5
20-40,0.292256071,5.5
0-20,0.903159469,4.9
0-20,0.916803349,4.9
0-20,0.889073007,4.9
0-20,0.970559786,4.9
0-20,0.889073007,4.9
0-20,0.916803349,4.9
0-20,0.958526615,4.9
0-20,0.788493617,4.9
0-20,0.80617726,4.9
0-20,0.750807592,4.9
0-20,0.750807592,4.9
0-20,0.765325751,4.9
0-20,0.745858314,4.9
0-20,0.801823394,4.9
0-20,1.29578694,3
20-40,1.179838928,3
0-20,1.156609718,3
20-40,1.180068501,3
0-20,1.233909453,3
20-40,1.18999534,3
0-20,1.28546729,3
20-40,1.194292282,3
0-20,1.285647309,3
20-40,1.114610984,3
0-20,1.162862993,3
20-40,1.132835804,3
0-20,1.240549248,3
20-40,1.122150319,3
0-20,1.270119599,3
20-40,1.139123134,3
0-20,1.123417129,4.3
0-20,1.230127936,4.7
0-20,1.312118939,4.2
0-20,1.123417129,4.3
0-20,1.230127936,4.7
0-20,1.312118939,4.2
0-20,1.123417129,4.3
0-20,1.230071176,4.7
0-20,1.312118939,4.2
0-20,0.834339306,4.3
0-20,0.965237459,4.7
0-20,1.173851483,4.2
0-20,0.850143658,4.3
0-20,0.988421602,4.7
0-20,1.195342181,4.2
0-20,0.857835263,4.3
0-20,0.988421602,4.7
0-20,1.195342181,4.2
20-40,0.779382899,4.3
20-40,0.779382899,4.7
20-40,0.757273012,4.2
20-40,0.779382899,4.3
20-40,0.779382899,4.7
20-40,0.757273012,4.2
20-40,0.779382899,4.3
20-40,0.779382899,4.7
20-40,0.757273012,4.2
0-20,1.951196812,3.1
0-20,1.951196812,3.1
0-20,2.004445882,3.1
0-20,1.989142855,3.1
20-40,2.048289813,3.1
20-40,2.058427695,3.1
0-20,1.176410815,1.3
0-20,1.079710795,1.3
0-20,1.053757443,1.3
0-20,0.900747208,1.3
0-20,0.960303339,1.3
0-20,0.864553829,1.3
0-20,0.684953025,7.2
0-20,0.504062883,7.2
0-20,0.543163771,5.5
0-20,0.287264126,4.9
0-20,0.292078772,4.9
0-20,0.34182215,4.9
0-20,0.276213565,4.9
0-20,0.413182371,4.9
0-20,0.246301577,4.9
0-20,0.240549248,4.9
0-20,0.264496704,4.9
0-20,0.293954471,4.9
0-20,0.21571157,4.9
0-20,0.328770904,4.9
0-20,0.153363573,4.9
0-20,0.792489745,1.5
0-20,1.088855238,0.4
20-40,0.854777898,0.4
0-20,0.901449471,0.4
20-40,0.553184433,0.4
0-20,0.892274908,0
0-20,0.892683739,0
0-20,1.022176243,0
0-20,0.784210736,0
0-20,0.386677284,4
0-20,0.522704993,4
0-20,0.455758203,4
0-20,0.629001619,4
0-20,0.691435152,4
0-20,0.867632453,1.9
0-20,1.07471407,1.9
0-20,0.314183339,4.9
0-20,0.38344552,4.9
0-20,0.365398122,4.9
0-20,0.245083096,4.9
0-20,0.460711462,4.9
0-20,0.370350222,4.9
0-20,0.370350222,4.9
0-20,0.420516831,4.9
0-20,0.809142053,1.5
0-20,0.561602204,4
0-20,0.489339626,4
0-20,0.40715287,4
20-40,0.351022885,4
20-40,0.213995649,4
0-20,1.137508682,4.5
0-20,1.090363225,4.5
0-20,1.037609037,4.5
0-20,1.711915831,-2.2
0-20,1.727233238,-2.2
0-20,1.626658118,-2.2
20-40,1.740687263,-2.2
0-20,0.500428598,4
0-20,0.433481808,4
0-20,0.606725225,4
0-20,0.701343441,4
0-20,1.106427535,2.5
0-20,1.170591798,1.9
0-20,1.402031858,1.9
0-20,1.529976711,1.9
0-20,1.339262323,1.9
0-20,0.632760888,4.7
0-20,0.598067905,4.3
0-20,0.332519251,4.9
0-20,0.402364569,4
0-20,0.650424097,4.9
0-20,0.054613055,5.5
0-20,0.315214393,5.3
0-20,0.250615147,4.3
0-20,0.488832634,4.6
0-20,0.463713862,4.5
0-20,0.634474932,4
0-20,0.516493962,4
20-40,0.476499429,4
0-20,0.637457224,4
0-20,0.572213711,4
20-40,0.504961004,4
0-20,0.538081879,4
0-20,0.547994447,4
20-40,0.472461181,4
0-20,0.394703519,4
0-20,0.517596933,4
20-40,0.427144822,4
0-20,0.586532481,4.2
0-20,0.584936962,4.2
20-40,0.536151093,4.2
0-20,0.645201079,4.2
0-20,0.515818543,4.2
20-40,0.473156608,4.2
0-20,0.672794075,4.2
0-20,0.413711963,4.2
20-40,0.345889756,4.2
0-20,0.548906472,4.2
0-20,0.507348624,4.2
20-40,0.502116477,4.2
0-20,0.16070732,4
0-20,0.200864458,4
20-40,0.202795432,4
0-20,0.098519258,4
0-20,0.088896297,4
20-40,-0.022117322,4
0-20,0.214081302,4
0-20,0.130744096,4
20-40,0.049334966,4
0-20,0.374250617,4
0-20,0.27131861,4
20-40,0.08027149,4
0-20,-0.563455723,4.6
0-20,-0.684029655,4.6
20-40,-0.606459893,4.6
20-40,-0.674484337,4.6
0-20,0.536487738,4.6
0-20,0.490472582,4.6
20-40,0.371082647,4.6
20-40,0.307234955,4.6
0-20,0.219060332,4.5
0-20,-0.077648289,4.5
20-40,-0.206265477,4.5
20-40,-0.328197933,4.5
0-20,0.106653173,4
20-40,0.024805729,4
0-20,0.028408565,4
20-40,0.171726454,4
0-20,0.407815642,4
20-40,0.28057837,4
0-20,0.331439444,4
20-40,0.265148139,4
0-20,0.234122291,4
20-40,0.171726454,4
0-20,0.386677284,4.3
0-20,0.522704993,4.3
0-20,0.455758203,4.3
0-20,0.629001619,4.3
0-20,0.691435152,4.3
0-20,0.957825576,2.2
20-40,0.363122888,2.2
0-20,1.162110161,1.9
0-20,0.916284143,2.3
0-20,0.729638274,2.3
0-20,1.045083464,2.5
0-20,1.067361777,2.5
0-20,1.025417293,1.9
0-20,0.908883743,1.9
20-40,0.748018929,1.9
0-20,0.954265671,1.9
0-20,0.460963959,11
0-20,0.357500335,11
0-20,0.164578868,11
0-20,1.14527847,1.9
0-20,1.326992542,2.5
0-20,1.158731486,2.5
0-20,1.23802602,1.7
0-20,0.839402621,1.7
20-40,0.615655515,1.7
0-20,1.230448921,1.7
0-20,0.680081572,1.7
20-40,0.595760686,1.7
0-20,0.829020585,1.7
0-20,0.610660163,1.7
20-40,0.537768739,1.7
0-20,0.667565014,1.7
0-20,0.510115865,1.7
20-40,0.501387941,1.7
0-20,1.237821115,1.7
0-20,0.83974445,1.7
20-40,0.61500683,1.7
0-20,1.230587873,1.7
0-20,0.679340666,1.7
20-40,0.595760686,1.7
0-20,0.829720496,1.7
0-20,0.610080717,1.7
20-40,0.535825584,1.7
0-20,0.667565014,1.7
0-20,0.511573231,1.7
20-40,0.502230414,1.7
