layer,log_stock,MBC,log_MBC
0-20,1.844516441,0.074081696,-1.130289082
0-20,1.718272573,0.074081696,-1.130289082
0-20,1.867379418,0.074081696,-1.130289082
20-40,1.924498508,0.079087216,-1.10189371
20-40,1.805313561,0.079087216,-1.10189371
0-20,1.730432067,0.31646766,-0.499670664
0-20,1.701306121,0.26131842,-0.582829976
20-40,1.77214198,0.269349124,-0.569684433
20-40,1.727843076,0.237442646,-0.624441277
0-20,1.484450321,0.33370152,-0.476641815
0-20,1.366349429,0.188933766,-0.723690419
20-40,1.167440887,0.226807062,-0.644343427
20-40,1.07317097,0.235315584,-0.62834931
0-20,1.360886113,0.33542424,-0.474405556
0-20,0.981773382,0.35955342,-0.444236576
20-40,0.809929536,0.32252814,-0.491432388
20-40,0.700785066,0.37145084,-0.430098655
0-20,0.894623206,0.145848228,-0.836098843
0-20,0.718531947,0.10276269,-0.988164536
20-40,0.596049716,0.111943522,-0.951001033
20-40,0.633838277,0.101307938,-0.994356524
0-20,1.454283965,0.072821921,-1.137737867
0-20,1.180286549,0.072821921,-1.137737867
20-40,1.05803782,0.077742321,-1.109342496
0-20,1.700526159,0.077742321,-1.109342496
0-20,1.572193743,0.072821921,-1.137737867
20-40,1.152824016,0.077742321,-1.109342496
0-20,1.388337628,0.072821921,-1.137737867
0-20,1.247718149,0.072821921,-1.137737867
20-40,0.975085211,0.077742321,-1.109342496
0-20,1.660723725,0.072821921,-1.137737867
0-20,1.582527317,0.072821921,-1.137737867
20-40,1.183968401,0.077742321,-1.109342496
0-20,1.023188237,0.065209031,-1.185692252
0-20,1.006705587,0.068133663,-1.166638262
0-20,0.91944421,0.038063384,-1.4194926
0-20,1.842507393,0.074081696,-1.130289082
0-20,1.711763578,0.074081696,-1.130289082
0-20,1.861650908,0.074081696,-1.130289082
20-40,1.920520441,0.079087216,-1.10189371
20-40,1.798160258,0.079087216,-1.10189371
0-20,0.997876179,0.096448343,-1.015705229
0-20,0.959179199,0.096448343,-1.015705229
0-20,0.955482963,0.096448343,-1.015705229
20-40,1.015042403,0.119039847,-0.924307641
20-40,0.943829209,0.119039847,-0.924307641
0-20,1.149226538,0.085223691,-1.069439662
0-20,1.21664933,0.085223691,-1.069439662
0-20,1.115506701,0.085239006,-1.069361621
0-20,1.957013138,0.074927073,-1.125361232
0-20,1.765757937,0.074927073,-1.125361232
0-20,2.092467993,0.074927073,-1.125361232
0-20,1.938159331,0.074927073,-1.125361232
0-20,2.001491409,0.074927073,-1.125361232
0-20,1.821539729,0.074927073,-1.125361232
0-20,2.097711127,0.072602288,-1.139049693
20-40,2.119476188,0.077507848,-1.110654321
0-20,2.052683786,0.073344063,-1.134635035
20-40,2.034916623,0.078299743,-1.106239664
0-20,0.942611212,0.085223691,-1.069439662
0-20,0.530507087,0.085223691,-1.069439662
0-20,0.942611212,0.085223691,-1.069439662
0-20,0.482679283,0.085223691,-1.069439662
0-20,0.969747597,0.085223691,-1.069439662
0-20,0.58951177,0.085223691,-1.069439662
0-20,1.122221155,0.085223691,-1.069439662
0-20,0.685003291,0.085223691,-1.069439662
0-20,0.956391318,0.085223691,-1.069439662
0-20,0.565243195,0.085223691,-1.069439662
0-20,1.006048267,0.085223691,-1.069439662
0-20,0.652052881,0.085223691,-1.069439662
0-20,1.016548697,0.085223691,-1.069439662
0-20,0.573586355,0.085223691,-1.069439662
0-20,1.033963908,0.085223691,-1.069439662
0-20,0.634590145,0.085223691,-1.069439662
