Type,Ecosystem,Mycorrhiza,stock,log_stock,Species
Seasonal frozen ground,Wetland,NM,4.1272,0.615655515,XYZ
Seasonal frozen ground,Wetland,NM,3.9424,0.595760686,XYZ
Seasonal frozen ground,Wetland,AM,3.4496,0.537768739,MTC
Seasonal frozen ground,Wetland,AM,3.1724,0.501387941,LW
Seasonal frozen ground,Wetland,NM,4.12104,0.61500683,XYZ
Seasonal frozen ground,Wetland,NM,3.9424,0.595760686,XYZ
Seasonal frozen ground,Wetland,AM,3.4342,0.535825584,MTC
Seasonal frozen ground,Wetland,AM,3.17856,0.502230414,LW
Seasonal frozen ground,Wetland,AM,15.02592,1.176841072,MGTC
Seasonal frozen ground,Wetland,AM,15.47538,1.189641322,MGTC
Seasonal frozen ground,Wetland,AM,21.96096,1.341651321,MGTC
Seasonal frozen ground,Wetland,AM,16.6152,1.220505573,MGTC
Seasonal frozen ground,Wetland,AM,9.57192,0.98099906,LW
Seasonal frozen ground,Wetland,AM,23.83968,1.377300422,LW
Seasonal frozen ground,Wetland,AM,16.8861,1.227529357,LW
Seasonal frozen ground,Wetland,AM,15.84882,1.199996933,LW
Seasonal frozen ground,Wetland,NM,6.09924,0.785275723,XYZ
Seasonal frozen ground,Wetland,NM,4.50182,0.653388126,XYZ
Seasonal frozen ground,Wetland,NM,3.38994,0.530192012,XYZ
Seasonal frozen ground,Wetland,NM,3.01698,0.479572431,XYZ
Seasonal frozen ground,Wetland,NM,3.504,0.544564097,XYZ
Seasonal frozen ground,Wetland,NM,3.7056,0.568858538,XYZ
Seasonal frozen ground,Wetland,NM,4.8672,0.687279192,XYZ
Seasonal frozen ground,Wetland,NM,5.2608,0.721051792,XYZ
Seasonal frozen ground,Wetland,NM,4.4544,0.648789214,XYZ
Seasonal frozen ground,Wetland,NM,3.04,0.482873584,XYZ
Seasonal frozen ground,Wetland,NM,3.728,0.571475904,XYZ
Seasonal frozen ground,Wetland,NM,3.04,0.482873584,XYZ
Seasonal frozen ground,Wetland,NM,3.5904,0.555142835,XYZ
Seasonal frozen ground,Wetland,NM,2.8992,0.462278176,XYZ
Seasonal frozen ground,Wetland,NM,4.4376,0.647148153,XYZ
Seasonal frozen ground,Wetland,NM,1.78024,0.250478555,XYZ
Seasonal frozen ground,Wetland,NM,3.17254,0.501407106,XYZ
Seasonal frozen ground,Wetland,NM,2.27814,0.35758041,XYZ
Seasonal frozen ground,Forest,EcM,2.8575,0.455986239,SY
Seasonal frozen ground,Forest,EcM,1.38348,0.140972885,SY
Seasonal frozen ground,Wetland,NM,3.60584,0.557006452,XYZ
Seasonal frozen ground,Wetland,NM,3.7184,0.570356106,XYZ
Seasonal frozen ground,Forest,EcM,1.7125,0.23363058,BH
Seasonal frozen ground,Wetland,EcM,2.46804,0.392352194,MGS-SY
Seasonal frozen ground,Wetland,EcM,2.4009,0.380374072,MGS-SY
Seasonal frozen ground,Wetland,NM,2.17008,0.336475744,XYZ
Seasonal frozen ground,Wetland,NM,3.63132,0.560064522,XYZ
Seasonal frozen ground,Wetland,AM,14.49672,1.161269751,MGTC
Seasonal frozen ground,Wetland,AM,17.47732,1.242474838,MGTC
Seasonal frozen ground,Wetland,NM,2.80028,0.447201459,XYZ
Seasonal frozen ground,Wetland,NM,1.16724,0.067160162,XYZ
Seasonal frozen ground,Wetland,AM,3.014,0.479143248,MGTC-XYZ
Seasonal frozen ground,Forest,EcM,7.3944,0.86890294,HS-KY
Seasonal frozen ground,Forest,EcM,7.584,0.879898324,HS-KY
Seasonal frozen ground,Forest,EcM,7.11,0.851869601,HS-KY
Seasonal frozen ground,Forest,EcM,7.3944,0.86890294,HS-KY
Seasonal frozen ground,Forest,EcM,8.1528,0.911306789,HS-KY
Seasonal frozen ground,Forest,EcM,8.058,0.906227263,HS-KY
Seasonal frozen ground,Forest,AM,0.9338,-0.02974613,YS
Seasonal frozen ground,Forest,AM,1.3524,0.131105162,YS
Seasonal frozen ground,Forest,EcM,0.966,-0.015022874,YS
Seasonal frozen ground,Forest,EcM,1.5134,0.17995373,YS
Seasonal frozen ground,Forest,EcM,0.9982,-0.000782434,MGS
Seasonal frozen ground,Forest,EcM,0.9982,-0.000782434,MGS
