Type,Ecosystem,Mycorrhiza,log_stock,stock,Species
Seasonal frozen ground,Wetland,AM,,,TTTC-LW
Permafrost,Forest,EcM,1.163703614,14.57819026,LYS-BH
Seasonal frozen ground,Forest,EcM,1.20370413,15.98468677,SY-BH
Permafrost,Forest,EcM,0.534491376,3.423665893,LYS-BH
Permafrost,Forest,EcM,1.211599963,16.27795947,LYS-YS
Permafrost,Forest,EcM,,,LYS-BH
Seasonal frozen ground,Forest,EcM,,,YS
Seasonal frozen ground,Forest,EcM,,,ZS-HS
Seasonal frozen ground,Forest,EcM,0.99997988,9.99953672,LYS-ZS
Seasonal frozen ground,Forest,EcM,1.20370413,15.98468677,SY-BH
Seasonal frozen ground,Forest,EcM,,,ZS
Seasonal frozen ground,Forest,EcM,0.739225312,5.485614849,ZS
Seasonal frozen ground,Grassland,,0.316738754,2.073665748,
Seasonal frozen ground,Forest,EcM,0.938904966,8.687703016,BH-ZS
Seasonal frozen ground,Forest,EcM,0.628922061,4.255220418,ZS
Seasonal frozen ground,Forest,EcM,1.272180948,18.71461717,ZH-YS
Seasonal frozen ground,Grassland,,0.769397923,5.880278868,
Seasonal frozen ground,Grassland,AM,0.72437092,5.301160093,XYZ-YC
Seasonal frozen ground,Grassland,,,,
Permafrost,Forest,EcM,,,
Seasonal frozen ground,Forest,EcM,0.979047433,9.52900232,
Seasonal frozen ground,Grassland,AM,0.217728153,1.650928074,ZM
Seasonal frozen ground,Grassland,,0.727514839,5.339675174,
Seasonal frozen ground,Grassland,NM,,,XYZ
Seasonal frozen ground,Grassland,,,,
Seasonal frozen ground,Forest,EcM,1.064318982,11.5962877,ZS
Seasonal frozen ground,Grassland,NM,,,XYZ-TC
Seasonal frozen ground,Forest,EcM,0.685170018,4.84361949,ZS-HS
Seasonal frozen ground,Grassland,NM,0.979829241,9.546171694,XYZ
Seasonal frozen ground,Forest,EcM,1.131027402,13.52157875,ZS-HS
Seasonal frozen ground,Grassland,,0.454579643,2.848260077,
Seasonal frozen ground,Forest,EcM,0.675663532,4.7387471,ZS-HS
Permafrost,Forest,EcM,1.099265531,12.56798144,ZH-YS
Seasonal frozen ground,Grassland,AM,1.028620311,10.6812065,XYZ-TC
