Type,log_stock,MTW
Seasonal frozen ground,0.331439444,21.2166996
Seasonal frozen ground,0.234122291,21.2166996
Seasonal frozen ground,0.386677284,22.2667007
Seasonal frozen ground,0.522704993,22.2667007
Seasonal frozen ground,0.455758203,22.2667007
Seasonal frozen ground,0.629001619,22.2667007
Seasonal frozen ground,0.691435152,22.2667007
Seasonal frozen ground,0.957825576,19.9666996
Seasonal frozen ground,0.729638274,19.5333004
Seasonal frozen ground,0.357500335,19.9832993
Seasonal frozen ground,0.164578868,19.9832993
Seasonal frozen ground,0.81646005,19.9832993
Seasonal frozen ground,0.601886239,19.9832993
Seasonal frozen ground,0.990791564,19.9832993
Seasonal frozen ground,0.765482282,19.9832993
Seasonal frozen ground,1.253118864,19.9666996
Seasonal frozen ground,0.548023154,19.9666996
Seasonal frozen ground,,21.5667
Seasonal frozen ground,,21.5667
Seasonal frozen ground,1.650268543,17.6000004
Seasonal frozen ground,1.384575613,17.6000004
Seasonal frozen ground,1.171129437,17.6000004
Seasonal frozen ground,1.086188505,17.6000004
Seasonal frozen ground,0.780921878,17.6000004
Seasonal frozen ground,0.557652966,17.6000004
Seasonal frozen ground,0.357784692,17.6000004
Seasonal frozen ground,1.608329166,17.6000004
Seasonal frozen ground,1.398148626,17.6000004
Seasonal frozen ground,1.313900951,17.6000004
Seasonal frozen ground,1.207688532,17.6000004
Seasonal frozen ground,1.136872327,17.6000004
Seasonal frozen ground,0.988488137,17.6000004
Seasonal frozen ground,1.004046599,17.6000004
Seasonal frozen ground,1.174582745,18.1833
Seasonal frozen ground,1.011621686,18.1833
Seasonal frozen ground,1.168521054,18.1833
Seasonal frozen ground,1.039492966,18.1833
Seasonal frozen ground,1.140608964,18.1833
Seasonal frozen ground,1.037140002,18.1833
Seasonal frozen ground,,21.5667
Seasonal frozen ground,,21.5667
Seasonal frozen ground,,21.5667
Seasonal frozen ground,1.779856039,17.6000004
Seasonal frozen ground,1.574411102,17.6000004
Seasonal frozen ground,1.349238893,17.6000004
Seasonal frozen ground,1.158820316,17.6000004
Seasonal frozen ground,0.635645757,17.6000004
Seasonal frozen ground,0.352103018,17.6000004
Seasonal frozen ground,0.152532948,17.6000004
