Type,log_stock,MTC
Seasonal frozen ground,1.004046599,-13.4167004
Seasonal frozen ground,1.174582745,-13.6667004
Seasonal frozen ground,1.011621686,-13.6667004
Seasonal frozen ground,1.168521054,-13.6667004
Seasonal frozen ground,1.039492966,-13.6667004
Seasonal frozen ground,1.140608964,-13.6667004
Seasonal frozen ground,1.037140002,-13.6667004
Seasonal frozen ground,,-16.1833
Seasonal frozen ground,,-16.1833
Seasonal frozen ground,,-16.1833
Seasonal frozen ground,1.779856039,-13.4167004
Seasonal frozen ground,1.574411102,-13.4167004
Seasonal frozen ground,1.349238893,-13.4167004
Seasonal frozen ground,1.158820316,-13.4167004
Seasonal frozen ground,0.635645757,-13.4167004
Seasonal frozen ground,0.352103018,-13.4167004
Seasonal frozen ground,0.152532948,-13.4167004
