Type,Ecosystem,Ecosystem0,Mycorrhiza,soc_stock,log_stock,MAT
Seasonal frozen ground,Wetland,Wetland,NM,19.304,1.285647309,3
Seasonal frozen ground,Wetland,Wetland,EcM,14.55,1.162862993,3
Seasonal frozen ground,Wetland,Wetland,EcM,17.4,1.240549248,3
Seasonal frozen ground,Wetland,Wetland,EcM,18.626,1.270119599,3
Seasonal frozen ground,Grassland,Upland,NM,13.2867,1.123417129,4.3
Seasonal frozen ground,Grassland,Upland,NM,16.98744,1.230127936,4.7
Seasonal frozen ground,Grassland,Upland,NM,20.51724,1.312118939,4.2
Seasonal frozen ground,Grassland,Upland,NM,13.2867,1.123417129,4.3
Seasonal frozen ground,Grassland,Upland,NM,16.98744,1.230127936,4.7
Seasonal frozen ground,Grassland,Upland,NM,20.51724,1.312118939,4.2
Seasonal frozen ground,Grassland,Upland,NM,13.2867,1.123417129,4.3
Seasonal frozen ground,Grassland,Upland,NM,16.98522,1.230071176,4.7
Seasonal frozen ground,Grassland,Upland,NM,20.51724,1.312118939,4.2
Seasonal frozen ground,Grassland,Upland,NM,6.82872,0.834339306,4.3
Seasonal frozen ground,Grassland,Upland,NM,9.23076,0.965237459,4.7
Seasonal frozen ground,Grassland,Upland,NM,14.92284,1.173851483,4.2
Seasonal frozen ground,Grassland,Upland,NM,7.0818,0.850143658,4.3
Seasonal frozen ground,Grassland,Upland,NM,9.73692,0.988421602,4.7
Seasonal frozen ground,Grassland,Upland,NM,15.67986,1.195342181,4.2
Seasonal frozen ground,Grassland,Upland,NM,7.20834,0.857835263,4.3
Seasonal frozen ground,Grassland,Upland,NM,9.73692,0.988421602,4.7
Seasonal frozen ground,Grassland,Upland,NM,15.67986,1.195342181,4.2
Seasonal frozen ground,Wetland,Wetland,AM,89.37104,1.951196812,3.1
Seasonal frozen ground,Wetland,Wetland,AM,89.37104,1.951196812,3.1
Seasonal frozen ground,Wetland,Wetland,AM,101.02896,2.004445882,3.1
Seasonal frozen ground,Wetland,Wetland,AM,97.53104,1.989142855,3.1
Seasonal frozen ground,Forest,Upland,AM,11.31768086,1.053757443,1.3
Seasonal frozen ground,Forest,Upland,AM,7.956960603,0.900747208,1.3
Seasonal frozen ground,Forest,Upland,EcM,9.126480691,0.960303339,1.3
Seasonal frozen ground,Forest,Upland,EcM,7.320720555,0.864553829,1.3
Seasonal frozen ground,Forest,Upland,EcM,4.8412,0.684953025,7.2
Seasonal frozen ground,Grassland,Upland,AM,3.49272,0.543163771,5.5
Seasonal frozen ground,Grassland,Upland,AM,1.9376,0.287264126,4.9
Seasonal frozen ground,Grassland,Upland,AM,1.9592,0.292078772,4.9
Seasonal frozen ground,Grassland,Upland,AM,2.19696,0.34182215,4.9
Seasonal frozen ground,Grassland,Upland,AM,1.88892,0.276213565,4.9
