Type,Ecosystem,Ecosystem,Mycorrhiza,soc_stock,log_stock,MAT
Seasonal frozen ground,Grassland,Upland,AM,1.636800124,0.213995649,4
Permafrost,Wetland,Wetland,ErM,55.04112,1.740687263,-2.2
Seasonal frozen ground,Grassland,Upland,AM,2.995707657,0.476499429,4
Seasonal frozen ground,Grassland,Upland,AM,3.198607889,0.504961004,4
Seasonal frozen ground,Grassland,Upland,AM,2.967981439,0.472461181,4
Seasonal frozen ground,Grassland,Upland,AM,2.673897912,0.427144822,4
Seasonal frozen ground,Grassland,Upland,AM,3.436774942,0.536151093,4.2
Seasonal frozen ground,Grassland,Upland,AM,2.972737819,0.473156608,4.2
Seasonal frozen ground,Grassland,Upland,AM,2.217633411,0.345889756,4.2
Seasonal frozen ground,Grassland,Upland,AM,3.177726218,0.502116477,4.2
Seasonal frozen ground,Grassland,Upland,AM,1.59512761,0.202795432,4
Seasonal frozen ground,Grassland,Upland,AM,0.950348028,-0.022117322,4
Seasonal frozen ground,Grassland,Upland,AM,1.120301624,0.049334966,4
Seasonal frozen ground,Grassland,Upland,AM,1.203016241,0.08027149,4
Seasonal frozen ground,Wetland,Wetland,AM,0.24748,-0.606459893,4.6
Seasonal frozen ground,Wetland,Wetland,AM,0.2116,-0.674484337,4.6
Seasonal frozen ground,Grassland,Upland,AM,2.35008,0.371082647,4.6
Seasonal frozen ground,Grassland,Upland,AM,2.02878,0.307234955,4.6
Seasonal frozen ground,Wetland,Wetland,AM,0.62192,-0.206265477,4.5
Seasonal frozen ground,Wetland,Wetland,AM,0.46968,-0.328197933,4.5
Seasonal frozen ground,Grassland,Upland,AM,1.05878,0.024805729,4
Seasonal frozen ground,Forest,Upland,EcM,1.485,0.171726454,4
Seasonal frozen ground,Forest,Upland,EcM,1.908,0.28057837,4
Seasonal frozen ground,Forest,Upland,AM,1.8414,0.265148139,4
Seasonal frozen ground,Forest,Upland,EcM,1.485,0.171726454,4
Seasonal frozen ground,Forest,Upland,EcM,2.3074,0.363122888,2.2
