lat,long,FT,ET,MT,log_stock,pH,MBC_g_kg,MBC,MBN,MAT,MAP,NDSI,TS,PS,MTW,MTC,MPW,MPC,bio_2,bio_7,bio_8,bio_9,bio_16,bio_17,NDVI,LAI,FPAR
48.12,128.63,Permafrost,Wetland,EcM,1.224688417,7.0999999,0.397799988,0.031823999,0.123052502,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
48.12,128.63,Permafrost,Wetland,EcM,1.115011071,7.0999999,0.397799988,0.031823999,0.123052502,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
48.12,128.63,Permafrost,Wetland,EcM,1.098712931,7.0999999,0.397799988,0.095471997,0.041017501,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
48.12,128.63,Permafrost,Wetland,EcM,1.240049772,7.0999999,0.397799988,0.079559998,0.049221001,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
48.12,128.63,Permafrost,Wetland,EcM,1.230039981,7.0999999,0.397799988,0.087515997,0.044746364,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
48.12,128.63,Permafrost,Wetland,EcM,1.258301976,7.0999999,0.397799988,0.023867999,0.164070002,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
48.12,128.63,Permafrost,Wetland,EcM,1.145631415,7.0999999,0.397799988,0.015912,0.246105003,0.4,630,7.3896298,1559.199951,102.6200027,18.4500008,-19.9666996,393,20,13.375,56,18.4500008,-19.9666996,393,20,0.41547,3.457268722,0.706387665
51.37,125.47,Permafrost,Wetland,EcM,0.241506635,5.87,0.245169006,0.06178259,0.040319047,-3,440,4.8370099,1576.329956,103.0400009,16.4832993,-22.1166992,334,15,13.9167004,55.7999992,16.4832993,-22.1166992,334,15,0.48736,4.053275109,0.766375546
51.37,125.47,Permafrost,Wetland,EcM,0.39814842,6.72,0.245169006,0.063743942,0.039078461,-3,440,4.8370099,1576.329956,103.0400009,16.4832993,-22.1166992,334,15,13.9167004,55.7999992,16.4832993,-22.1166992,334,15,0.48736,4.053275109,0.766375546
51.37,125.47,Permafrost,Wetland,EcM,0.305351369,7.46,0.245169006,0.061292252,0.040641599,-3,440,4.8370099,1576.329956,103.0400009,16.4832993,-22.1166992,334,15,13.9167004,55.7999992,16.4832993,-22.1166992,334,15,0.48736,4.053275109,0.766375546
51.37,125.47,Permafrost,Wetland,EcM,0.377626753,7.38,0.245169006,0.060801914,0.040969354,-3,440,4.8370099,1576.329956,103.0400009,16.4832993,-22.1166992,334,15,13.9167004,55.7999992,16.4832993,-22.1166992,334,15,0.48736,4.053275109,0.766375546
51.94,123.59,Permafrost,Forest,EcM,1.303860603,7.0999999,0.377871002,0.103536655,0.035092458,-2.12,490,10.4316998,1649.23999,102.2570038,15.6499996,-24.7833004,322,17,14.7917004,58.5,15.6499996,-24.7833004,322,17,0.343653,1.995196507,0.577030568
52.16,124.81,Permafrost,Forest,EcM,1.192786497,7.1999998,0.314644989,0.086212727,0.05340876,-2.12,490,6.6303,1635.829956,99.7966003,16.6667004,-23.2833004,317,16,13.8583002,56.7000008,16.6667004,-23.2833004,317,16,0.467652,3.926637555,0.774017467
52.93,122.87,Permafrost,Wetland,ErM,2.031395859,5.75,0.253675995,0.080161614,0.037290927,-4.3,465,18.3852997,1726.839966,102.5009995,15.9499998,-26.2332993,300,14,15.5500002,60.0999985,15.9499998,-26.2332993,300,14,0.421577,3.402183406,0.741572052
47.48,133.35,Seasonally frozen ground,Wetland,AM,1.15807528,5.85,0.442053986,0.121122792,0.057239416,2.5,558,23.7320004,1565.02002,86.8639984,20.0499992,-18.6333008,337,25,10.875,53.2000008,20.0499992,-18.6333008,337,25,0.30483,2.457709251,0.574933921
49.45,123.31,Permafrost,Forest,EcM,0.945244585,6,0.247705994,0.078275094,0.031087342,-1.1,480,2.34165,1466.189941,118.939003,16.7667007,-19.1333008,357,9,14.3167,53.2999992,16.7667007,-19.1333008,357,9,0.470239,4.270484582,0.792026432
51.58,122.63,Permafrost,Forest,EcM,1.387603561,6,0.245315002,0.077519541,0.030937342,-5.3,450,9.0860205,1610.689941,107.1849976,13.7166996,-25.7667007,350,15,15.875,58.7000008,13.7166996,-25.7667007,350,15,0.346361,2.429694323,0.615458515
52.94,122.87,Permafrost,Wetland,EcM,1.086156163,5.08,0.2858,0.0102888,0.327331472,-3.9,450,15.8376999,1731.280029,103.6399994,16.0832996,-26.2000008,298,14,15.5583,60.2000008,16.0832996,-26.2000008,298,14,0.396081,2.931004367,0.695283843
52.94,122.87,Permafrost,Wetland,EcM,0.942142043,5.29,0.15068,0.03284824,0.054054739,-3.9,450,15.8376999,1731.280029,103.6399994,16.0832996,-26.2000008,298,14,15.5583,60.2000008,16.0832996,-26.2000008,298,14,0.396081,2.931004367,0.695283843
53.47,122.33,Permafrost,Wetland,EcM,1.245060268,5.26,0.322816986,0.088451854,0.043878834,-3.3,442.95,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,271,14,0.404515,3.366812227,0.756026201
53.56,122.34,Permafrost,Wetland,AM,1.267113506,6.4000001,0.349756012,0.096532659,0.034091788,-3,450,9.8579197,1742.390015,99.5912018,16.5832996,-25.9832993,273,15,15.6917,60.7999992,16.5832996,-25.9832993,273,15,0.429068,,
53.56,122.34,Permafrost,Forest,EcM,0.544028336,6.4000001,0.349756012,0.096532659,0.034091788,-3,450,9.8579197,1742.390015,99.5912018,16.5832996,-25.9832993,273,15,15.6917,60.7999992,16.5832996,-25.9832993,273,15,0.429068,,
53.56,122.34,Permafrost,Forest,EcM,0.988929777,6.4000001,0.349756012,0.096532659,0.034091788,-3,450,9.8579197,1742.390015,99.5912018,16.5832996,-25.9832993,273,15,15.6917,60.7999992,16.5832996,-25.9832993,273,15,0.416314,,
53.45,122.28,Permafrost,Wetland,EcM,0.678951547,6,0.269673004,0.085216669,0.038046837,-3,400,14.1652002,1712.640015,103.2210007,16.1667004,-25.7000008,281,11,14.875,59.5,16.1667004,-25.7000008,281,11,0.300196,3.987772926,0.79580786
53.45,122.28,Permafrost,Wetland,EcM,0.377634034,6,0.269673004,0.085216669,0.038046837,-3,400,14.1652002,1712.640015,103.2210007,16.1667004,-25.7000008,281,11,14.875,59.5,16.1667004,-25.7000008,281,11,0.447456,3.987772926,0.79580786
53.45,122.28,Permafrost,Wetland,EcM,0.52376207,6,0.269673004,0.085216669,0.038046837,-3,400,14.1652002,1712.640015,103.2210007,16.1667004,-25.7000008,281,11,14.875,59.5,16.1667004,-25.7000008,281,11,0.340964,3.987772926,0.79580786
52.89,123.17,Permafrost,Wetland,EcM,2.141161193,4.6,0.2645,0.083582,0.039748313,-4.3,452,9.6195602,1690.670044,99.990097,15.6833,-25.6000004,308,18,15.0583,58.7000008,15.6833,-21.3833008,308,18,0.351748,3.358078603,0.707554585
44.55,123.52,Seasonally frozen ground,Grassland,AM,0.447874027,9.6,0.150270004,0.048386941,0.030006211,5.7,375,6.8486199,1423.170044,114.0930023,22.8500004,-12.2166996,318,8,12.0166998,49.9000015,22.8500004,-12.2166996,318,8,0.240036,1.113656388,0.43030837
44.55,123.52,Seasonally frozen ground,Grassland,AM,0.225526375,10.2,0.150270004,0.048386941,0.030006211,5.7,375,6.8486199,1423.170044,114.0930023,22.8500004,-12.2166996,318,8,12.0166998,49.9000015,22.8500004,-12.2166996,318,8,0.240036,1.113656388,0.43030837
44.55,123.52,Seasonally frozen ground,Grassland,AM,0.24663643,9.8,0.150270004,0.048386941,0.030006211,5.7,375,6.8486199,1423.170044,114.0930023,22.8500004,-12.2166996,318,8,12.0166998,49.9000015,22.8500004,-12.2166996,318,8,0.240036,1.113656388,0.43030837
44.55,123.52,Seasonally frozen ground,Grassland,AM,0.160102213,10,0.150270004,0.048386941,0.030006211,5.7,375,6.8486199,1423.170044,114.0930023,22.8500004,-12.2166996,318,8,12.0166998,49.9000015,22.8500004,-12.2166996,318,8,0.240036,1.113656388,0.43030837
44.55,123.52,Seasonally frozen ground,Grassland,AM,0.112081925,9.5,0.150270004,0.048386941,0.030006211,5.7,375,6.8486199,1423.170044,114.0930023,22.8500004,-12.2166996,318,8,12.0166998,49.9000015,22.8500004,-12.2166996,318,8,0.240036,1.113656388,0.43030837
44.55,123.52,Seasonally frozen ground,Grassland,AM,0.440329636,9.4,0.150270004,0.048386941,0.030006211,5.7,375,6.8486199,1423.170044,114.0930023,22.8500004,-12.2166996,318,8,12.0166998,49.9000015,22.8500004,-12.2166996,318,8,0.240036,1.113656388,0.43030837
44.55,123.52,Seasonally frozen ground,Grassland,AM,0.242655701,9.5,0.150270004,0.048386941,0.030006211,5.7,375,6.8486199,1423.170044,114.0930023,22.8500004,-12.2166996,318,8,12.0166998,49.9000015,22.8500004,-12.2166996,318,8,0.31882,1.113656388,0.43030837
44.75,123.75,Seasonally frozen ground,Forest,EcM,0.953193145,7.19,0.352587006,0.097314014,0.035007246,5.5,432,7.9904299,1443.439941,123.1429977,22.5333004,-13.0333004,314,5,12,50.4000015,22.5333004,-13.0333004,314,5,0.31882,1.409251101,0.522643172
44.75,123.75,Seasonally frozen ground,Forest,EcM,0.955855087,7.32,0.352587006,0.097314014,0.035007246,5.5,432,7.9904299,1443.439941,123.1429977,22.5333004,-13.0333004,314,5,12,50.4000015,22.5333004,-13.0333004,314,5,0.31882,1.409251101,0.522643172
44.75,123.75,Seasonally frozen ground,Grassland,AM,0.809195967,7.69,0.352587006,0.097314014,0.035007246,5.5,432,7.9904299,1443.439941,123.1429977,22.5333004,-13.0333004,314,5,12,50.4000015,22.5333004,-13.0333004,314,5,0.350359,1.409251101,0.522643172
44.75,123.75,Seasonally frozen ground,Grassland,AM,0.838153663,8.89,0.352587006,0.097314014,0.035007246,5.5,432,7.9904299,1443.439941,123.1429977,22.5333004,-13.0333004,314,5,12,50.4000015,22.5333004,-13.0333004,314,5,0.350359,1.409251101,0.522643172
42.7,122.48,Seasonally frozen ground,Grassland,AM,-0.295849483,6.8000002,0.135626007,0.038517786,0.032536854,7.7,474,2.72014,1328.650024,110.6169968,22.4832993,-10.3000002,339,8,12.1332998,47.2999992,22.4832993,-10.3000002,339,8,0.350359,1.268722467,0.470440529
42.7,122.48,Seasonally frozen ground,Grassland,EcM,-0.156767222,6.8000002,0.135626007,0.038517786,0.032536854,7.7,474,2.72014,1328.650024,110.6169968,22.4832993,-10.3000002,339,8,12.1332998,47.2999992,22.4832993,-10.3000002,339,8,0.350359,1.268722467,0.470440529
42.7,122.48,Seasonally frozen ground,Grassland,EcM,-0.145693958,6.8000002,0.135626007,0.038517786,0.032536854,7.7,474,2.72014,1328.650024,110.6169968,22.4832993,-10.3000002,339,8,12.1332998,47.2999992,22.4832993,-10.3000002,339,8,0.350359,1.268722467,0.470440529
42.7,122.48,Seasonally frozen ground,Grassland,EcM,-0.199282922,6.8000002,0.135626007,0.038517786,0.032536854,7.7,474,2.72014,1328.650024,110.6169968,22.4832993,-10.3000002,339,8,12.1332998,47.2999992,22.4832993,-10.3000002,339,8,0.350359,1.268722467,0.470440529
42.7,122.48,Seasonally frozen ground,Grassland,EcM,-0.225483034,6.8000002,0.135626007,0.038517786,0.032536854,7.7,474,2.72014,1328.650024,110.6169968,22.4832993,-10.3000002,339,8,12.1332998,47.2999992,22.4832993,-10.3000002,339,8,0.350359,1.268722467,0.470440529
42.7,122.48,Seasonally frozen ground,Grassland,EcM,-0.164943898,6.8000002,0.135626007,0.038517786,0.032536854,7.7,474,2.72014,1328.650024,110.6169968,22.4832993,-10.3000002,339,8,12.1332998,47.2999992,22.4832993,-10.3000002,339,8,0.350359,1.268722467,0.470440529
42.7,122.48,Seasonally frozen ground,Grassland,EcM,-0.206209615,6.8000002,0.135626007,0.038517786,0.032536854,7.7,474,2.72014,1328.650024,110.6169968,22.4832993,-10.3000002,339,8,12.1332998,47.2999992,22.4832993,-10.3000002,339,8,0.350359,1.268722467,0.470440529
"
45.365278","
132.333333",Seasonally frozen ground,Wetland,AM,1.076591806,6,1.056,0.09722653,0.134239047,3.1,750,20.3871002,1399.52002,76.0548019,20.2667007,-14.2833004,294,27,10.7333002,48.9000015,19.2833004,-14.2833004,295,27,0.31882,1.110572687,0.451189427
