lat,long,FT,ET,MT,log_stock,pH,MBC_g_kg,MBC,MBN,MAT,MAP,NDSI,TS,PS,MTW,MTC,MPW,MPC,bio_2,bio_7,bio_8,bio_9,bio_13,bio_14,bio_16,bio_17,NDVI,LAI,FPAR
52.28,122.28,Permafrost,Forest,EcM,1.842507393,4.78151,0.250276001,0.074081696,0.032802028,-4.2,438,17.6648006,1708.640015,105.3010025,14.9666996,-26.8666992,318,15,15.7333002,60.2000008,14.9666996,-26.8666992,125,4,318,15,0.36229,2.472052402,0.647510917
52.28,122.28,Permafrost,Forest,EcM,1.711763578,4.72,0.250276001,0.074081696,0.032802028,-4.2,438,17.6648006,1708.640015,105.3010025,14.9666996,-26.8666992,318,15,15.7333002,60.2000008,14.9666996,-26.8666992,125,4,318,15,0.36229,2.472052402,0.647510917
52.28,122.28,Permafrost,Forest,EcM,1.861650908,4.89,0.250276001,0.074081696,0.032802028,-4.2,438,17.6648006,1708.640015,105.3010025,14.9666996,-26.8666992,318,15,15.7333002,60.2000008,14.9666996,-26.8666992,125,4,318,15,0.36229,2.472052402,0.647510917
51.89,121.9,Permafrost,Forest,EcM,0.997876179,4.86,0.434451996,0.096448343,0.043304504,-4.2,438,6.1280398,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,127,4,319,15,0.375984,2.818777293,0.692969432
51.89,121.9,Permafrost,Forest,EcM,0.959179199,5.08,0.434451996,0.096448343,0.043304504,-4.2,438,6.1280398,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,127,4,319,15,0.375984,2.818777293,0.692969432
51.89,121.9,Permafrost,Forest,EcM,0.955482963,5.27,0.434451996,0.096448343,0.043304504,-4.2,438,6.1280398,1657.160034,106.5770035,14.7666998,-25.9167004,319,15,15.2166996,59.2000008,14.7666998,-25.9167004,127,4,319,15,0.375984,2.818777293,0.692969432
53.47,122.33,Permafrost,Wetland,EcM,1.149226538,4.68,0.322816986,0.085223691,0.045540907,-4.9,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,1.21664933,5.04,0.322816986,0.085223691,0.045540907,-4.9,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.34,Permafrost,Wetland,EcM,1.115506701,4.87,0.322875,0.085239006,0.045540907,-4.9,490,11.0199003,1804.560059,100.4160004,16.8833008,-27.1833,271,14,15.8000002,62.4000015,16.8833008,-27.1833,105,4,271,14,0.401434,3.366812227,0.756026201
52.73,122.65,Permafrost,Forest,EcM,1.957013138,3.9,0.253132004,0.074927073,0.039810584,-3.9,452,10.8541002,1714.180054,101.7740021,15.6000004,-26.3332996,306,15,15.5832996,59.9000015,15.6000004,-26.3332996,120,4,306,15,0.448005,3.410043668,0.723580786
52.73,122.65,Permafrost,Forest,EcM,1.765757937,4,0.253132004,0.074927073,0.039810584,-3.9,452,10.8541002,1714.180054,101.7740021,15.6000004,-26.3332996,306,15,15.5832996,59.9000015,15.6000004,-26.3332996,120,4,306,15,0.448005,3.410043668,0.723580786
52.73,122.65,Permafrost,Wetland,EcM,2.092467993,4.1,0.253132004,0.074927073,0.039810584,-3.9,452,10.8541002,1714.180054,101.7740021,15.6000004,-26.3332996,306,15,15.5832996,59.9000015,15.6000004,-26.3332996,120,4,306,15,0.448005,3.410043668,0.723580786
52.73,122.65,Permafrost,Wetland,EcM,1.938159331,4.1,0.253132004,0.074927073,0.039810584,-3.9,452,10.8541002,1714.180054,101.7740021,15.6000004,-26.3332996,306,15,15.5832996,59.9000015,15.6000004,-26.3332996,120,4,306,15,0.448005,3.410043668,0.723580786
52.73,122.65,Permafrost,Wetland,NM,2.001491409,4.3,0.253132004,0.074927073,0.039810584,-3.9,452,10.8541002,1714.180054,101.7740021,15.6000004,-26.3332996,306,15,15.5832996,59.9000015,15.6000004,-26.3332996,120,4,306,15,0.448005,3.410043668,0.723580786
52.73,122.65,Permafrost,Wetland,NM,1.821539729,4.1,0.253132004,0.074927073,0.039810584,-3.9,452,10.8541002,1714.180054,101.7740021,15.6000004,-26.3332996,306,15,15.5832996,59.9000015,15.6000004,-26.3332996,120,4,306,15,0.448005,3.410043668,0.723580786
51.58,124.28,Permafrost,Wetland,ErM,2.097711127,4.19,0.245278,0.072602288,0.032394145,-3.6,498,12.6618004,1592.560059,104.8899994,15.2166996,-23.7833004,345,12,14.8832998,57.2000008,15.2166996,-23.7833004,141,3,345,12,0.485953,3.569432314,0.725633188
52.25,122.64,Permafrost,Wetland,ErM,2.052683786,4.88462,0.247783997,0.073344063,0.033046396,-5,430,12.7136002,1635.189941,102.4919968,14.25,-25.75,335,15,15.0916996,57.7999992,14.25,-25.75,133,4,335,15,0.376985,2.88209607,0.682751092
53.47,122.33,Permafrost,Wetland,EcM,0.942611212,4.57,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.530507087,4.67,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.942611212,4.86,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.482679283,4.98,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.969747597,4.81,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.58951177,4.88,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,1.122221155,4.87,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.685003291,5.12,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.956391318,4.97,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,0.565243195,5.13,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
53.47,122.33,Permafrost,Wetland,EcM,1.006048267,4.8,0.322816986,0.085223691,0.045540907,-4.1,490,11.0199003,1798.890015,100.7549973,16.7833004,-27.1333008,271,14,15.7666998,62.2999992,16.7833004,-27.1333008,105,4,271,14,0.404515,3.366812227,0.756026201
